Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Thomas Mann","12176","Olga Schnitzler","2173","459","Directed","Thomas Mann–Olga Schnitzler","3"
"Thomas Mann","12176","Katia Mann","12173","3","Directed","Thomas Mann–Katia Mann","3"
"Thomas Mann","12176","Scofield Thayer","2276","3","Directed","Thomas Mann–Scofield Thayer","2"
"Thomas Mann","12176","Heinrich Mann","12170","6","Directed","Thomas Mann–Heinrich Mann","2"
"Thomas Mann","12176","Heinrich Schnitzler","12692","114","Directed","Thomas Mann–Heinrich Schnitzler","2"
"Thomas Mann","12176","Felix Salten","2167","130","Directed","Thomas Mann–Felix Salten","1"
"Thomas Mann","12176","Lili Cappellini","2238","39","Directed","Thomas Mann–Lili Cappellini","1"
"Thomas Mann","12176","Giacomo Girolamo Casanova","3145","4","Directed","Thomas Mann–Giacomo Girolamo Casanova","1"
"Thomas Mann","12176","Friedrich Basil","10840","1","Directed","Thomas Mann–Friedrich Basil","1"
"Thomas Mann","12176","Tilla Durieux","11198","2","Directed","Thomas Mann–Tilla Durieux","1"
"Thomas Mann","12176","Samuel Fischer","11324","50","Directed","Thomas Mann–Samuel Fischer","1"
"Thomas Mann","12176","Alfred Kerr","11910","50","Directed","Thomas Mann–Alfred Kerr","1"
"Thomas Mann","12176","Louise Schnitzler","12701","76","Directed","Thomas Mann–Louise Schnitzler","1"
"Thomas Mann","12176","Albert Steinrück","12837","11","Directed","Thomas Mann–Albert Steinrück","1"
"Thomas Mann","12176","Hugo Thimig","12948","4","Directed","Thomas Mann–Hugo Thimig","1"
"Thomas Mann","12176","Jakob Wassermann","13055","42","Directed","Thomas Mann–Jakob Wassermann","1"
"Thomas Mann","12176","Frieda Pollak","22728","50","Directed","Thomas Mann–Frieda Pollak","1"
"Thomas Mann","12176","Thomas Seltzer","24825","1","Directed","Thomas Mann–Thomas Seltzer","1"
