Source,Target,Type,Label,Weight
"Friedrich M. Fels","Richard Beer-Hofmann","Directed","Friedrich M. Fels–Richard Beer-Hofmann","10"
"Friedrich M. Fels","Hugo von Hofmannsthal","Directed","Friedrich M. Fels–Hugo von Hofmannsthal","7"
"Friedrich M. Fels","Jakob Julius David","Directed","Friedrich M. Fels–Jakob Julius David","4"
"Friedrich M. Fels","Felix Salten","Directed","Friedrich M. Fels–Felix Salten","3"
"Friedrich M. Fels","Julius von Gans-Ludassy","Directed","Friedrich M. Fels–Julius von Gans-Ludassy","3"
"Friedrich M. Fels","Robert Hirschfeld","Directed","Friedrich M. Fels–Robert Hirschfeld","3"
"Friedrich M. Fels","Joseph Schreiber","Directed","Friedrich M. Fels–Joseph Schreiber","3"
"Friedrich M. Fels","Heinrich Osten","Directed","Friedrich M. Fels–Heinrich Osten","2"
"Friedrich M. Fels","Hugo Bettauer","Directed","Friedrich M. Fels–Hugo Bettauer","2"
"Friedrich M. Fels","Karl Friedrich Henckell","Directed","Friedrich M. Fels–Karl Friedrich Henckell","2"
"Friedrich M. Fels","Hermann Bahr","Directed","Friedrich M. Fels–Hermann Bahr","2"
"Friedrich M. Fels","John Henry Mackay","Directed","Friedrich M. Fels–John Henry Mackay","2"
"Friedrich M. Fels","Edmund Wengraf","Directed","Friedrich M. Fels–Edmund Wengraf","2"
"Friedrich M. Fels","Ludwig Gelber","Directed","Friedrich M. Fels–Ludwig Gelber","2"
"Friedrich M. Fels","Josef Steinbach","Directed","Friedrich M. Fels–Josef Steinbach","2"
"Friedrich M. Fels","?? [Vermieter von F. M. Fels]","Directed","Friedrich M. Fels–?? [Vermieter von F. M. Fels]","2"
"Friedrich M. Fels","Josef Drassl","Directed","Friedrich M. Fels–Josef Drassl","2"
"Friedrich M. Fels","Peter Altenberg","Directed","Friedrich M. Fels–Peter Altenberg","1"
"Friedrich M. Fels","Eduard Michael Kafka","Directed","Friedrich M. Fels–Eduard Michael Kafka","1"
"Friedrich M. Fels","Emil Granichstaedten","Directed","Friedrich M. Fels–Emil Granichstaedten","1"
"Friedrich M. Fels","Hugo Gerlach","Directed","Friedrich M. Fels–Hugo Gerlach","1"
"Friedrich M. Fels","Joseph Victor Widmann","Directed","Friedrich M. Fels–Joseph Victor Widmann","1"
"Friedrich M. Fels","Clara Schreiber","Directed","Friedrich M. Fels–Clara Schreiber","1"
"Friedrich M. Fels","Charles Sealsfield","Directed","Friedrich M. Fels–Charles Sealsfield","1"
"Friedrich M. Fels","Maximilian Egon von Fürstenberg","Directed","Friedrich M. Fels–Maximilian Egon von Fürstenberg","1"
"Friedrich M. Fels","Carl Spitteler","Directed","Friedrich M. Fels–Carl Spitteler","1"
"Friedrich M. Fels","Wilhelm Bölsche","Directed","Friedrich M. Fels–Wilhelm Bölsche","1"
"Friedrich M. Fels","Heinrich Glücksmann","Directed","Friedrich M. Fels–Heinrich Glücksmann","1"
"Friedrich M. Fels","Max Halbe","Directed","Friedrich M. Fels–Max Halbe","1"
"Friedrich M. Fels","Karl Kraus","Directed","Friedrich M. Fels–Karl Kraus","1"
