Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Friedrich M. Fels","2450","?? [Vermieterin von F. M. Fels]","41959","1","Directed","Friedrich M. Fels–?? [Vermieterin von F. M. Fels]","1"
"Friedrich M. Fels","2450","?? [Ungarischer Student in Zürich]","42063","1","Directed","Friedrich M. Fels–?? [Ungarischer Student in Zürich]","1"
"Friedrich M. Fels","2450","Ilse Frapan","42068","1","Directed","Friedrich M. Fels–Ilse Frapan","1"
"Friedrich M. Fels","2450","Maurice Reinhold Stern","42086","1","Directed","Friedrich M. Fels–Maurice Reinhold Stern","1"
"Friedrich M. Fels","2450","Viktor Adalbert Magaziner","42096","1","Directed","Friedrich M. Fels–Viktor Adalbert Magaziner","1"
"Friedrich M. Fels","2450","Windberg","42099","1","Directed","Friedrich M. Fels–Windberg","1"
"Friedrich M. Fels","2450","?? [Bekannter von Magaziner in Zürich]","42102","1","Directed","Friedrich M. Fels–?? [Bekannter von Magaziner in Zürich]","1"
"Friedrich M. Fels","2450","Josefine Sorger","42356","1","Directed","Friedrich M. Fels–Josefine Sorger","1"
"Friedrich M. Fels","2450","Jenny Neuhut","42362","1","Directed","Friedrich M. Fels–Jenny Neuhut","1"
"Friedrich M. Fels","2450","?? [Vermieterin von F. M. Fels in Zürich]","42387","1","Directed","Friedrich M. Fels–?? [Vermieterin von F. M. Fels in Zürich]","1"
"Friedrich M. Fels","2450","Carl Anton Dreher","42521","1","Directed","Friedrich M. Fels–Carl Anton Dreher","1"
"Friedrich M. Fels","2450","Meichl","42528","1","Directed","Friedrich M. Fels–Meichl","1"
"Friedrich M. Fels","2450","Gésa D’Ouvenou","43439","1","Directed","Friedrich M. Fels–Gésa D’Ouvenou","1"
