Source,Target,Type,Label,Weight
"Hermann Bahr","Olga Schnitzler","Directed","Hermann Bahr–Olga Schnitzler","104"
"Hermann Bahr","Isidor Singer","Directed","Hermann Bahr–Isidor Singer","40"
"Hermann Bahr","Heinrich Kanner","Directed","Hermann Bahr–Heinrich Kanner","39"
"Hermann Bahr","Anna Bahr-Mildenburg","Directed","Hermann Bahr–Anna Bahr-Mildenburg","30"
"Hermann Bahr","Hugo von Hofmannsthal","Directed","Hermann Bahr–Hugo von Hofmannsthal","19"
"Hermann Bahr","Otto Brahm","Directed","Hermann Bahr–Otto Brahm","15"
"Hermann Bahr","Max Eugen Burckhard","Directed","Hermann Bahr–Max Eugen Burckhard","14"
"Hermann Bahr","Felix Salten","Directed","Hermann Bahr–Felix Salten","12"
"Hermann Bahr","Max Reinhardt","Directed","Hermann Bahr–Max Reinhardt","12"
"Hermann Bahr","Heinrich Schnitzler","Directed","Hermann Bahr–Heinrich Schnitzler","12"
"Hermann Bahr","Richard Beer-Hofmann","Directed","Hermann Bahr–Richard Beer-Hofmann","11"
"Hermann Bahr","Peter Altenberg","Directed","Hermann Bahr–Peter Altenberg","9"
"Hermann Bahr","Emerich von Bukovics","Directed","Hermann Bahr–Emerich von Bukovics","9"
"Hermann Bahr","Samuel Fischer","Directed","Hermann Bahr–Samuel Fischer","7"
"Hermann Bahr","Lucie Höflich","Directed","Hermann Bahr–Lucie Höflich","6"
"Hermann Bahr","Stephan Epstein","Directed","Hermann Bahr–Stephan Epstein","5"
"Hermann Bahr","Julius Schnitzler","Directed","Hermann Bahr–Julius Schnitzler","5"
"Hermann Bahr","Lili Cappellini","Directed","Hermann Bahr–Lili Cappellini","4"
"Hermann Bahr","Helene Ritscher","Directed","Hermann Bahr–Helene Ritscher","4"
"Hermann Bahr","Leopold von Andrian-Werburg","Directed","Hermann Bahr–Leopold von Andrian-Werburg","4"
"Hermann Bahr","Alfred von Berger","Directed","Hermann Bahr–Alfred von Berger","4"
"Hermann Bahr","Gilbert Otto Neumann-Hofer","Directed","Hermann Bahr–Gilbert Otto Neumann-Hofer","4"
"Hermann Bahr","Albert von Speidel","Directed","Hermann Bahr–Albert von Speidel","4"
"Hermann Bahr","Siegfried Trebitsch","Directed","Hermann Bahr–Siegfried Trebitsch","4"
"Hermann Bahr","Arthur Schnitzler","Directed","Hermann Bahr–Arthur Schnitzler","3"
"Hermann Bahr","Richard Vallentin","Directed","Hermann Bahr–Richard Vallentin","3"
"Hermann Bahr","Georg Engländer","Directed","Hermann Bahr–Georg Engländer","3"
"Hermann Bahr","Albert Bassermann","Directed","Hermann Bahr–Albert Bassermann","3"
"Hermann Bahr","Eduard Pötzl","Directed","Hermann Bahr–Eduard Pötzl","3"
"Hermann Bahr","Emanuel Reicher","Directed","Hermann Bahr–Emanuel Reicher","3"
