Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Fedor Mamroth","4986","Rudolf Lothar","2570","15","Directed","Fedor Mamroth–Rudolf Lothar","1"
"Fedor Mamroth","4986","Edgar Pierson","2595","1","Directed","Fedor Mamroth–Edgar Pierson","1"
"Fedor Mamroth","4986","Leo N. von Tolstoi","3739","6","Directed","Fedor Mamroth–Leo N. von Tolstoi","1"
"Fedor Mamroth","4986","Marcel Prévost","9386","2","Directed","Fedor Mamroth–Marcel Prévost","1"
"Fedor Mamroth","4986","Richard Beer-Hofmann","10863","356","Directed","Fedor Mamroth–Richard Beer-Hofmann","1"
"Fedor Mamroth","4986","Otto Brahm","10986","112","Directed","Fedor Mamroth–Otto Brahm","1"
"Fedor Mamroth","4986","Samuel Fischer","11324","50","Directed","Fedor Mamroth–Samuel Fischer","1"
"Fedor Mamroth","4986","Paul Goldmann","11485","157","Directed","Fedor Mamroth–Paul Goldmann","1"
"Fedor Mamroth","4986","Eduard Sack","34989","1","Directed","Fedor Mamroth–Eduard Sack","1"
"Fedor Mamroth","4986","Carl Freund","39775","5","Directed","Fedor Mamroth–Carl Freund","1"
"Fedor Mamroth","4986","J. Schwarz","42204","1","Directed","Fedor Mamroth–J. Schwarz","1"
"Fedor Mamroth","4986","Salo Schottlaender","89393","2","Directed","Fedor Mamroth–Salo Schottlaender","1"
"Fedor Mamroth","4986","Wilhelm Friedrich","89803","1","Directed","Fedor Mamroth–Wilhelm Friedrich","1"
"Fedor Mamroth","4986","Max Jeckel","89816","1","Directed","Fedor Mamroth–Max Jeckel","1"
