Source,Target,Type,Label,Weight
"Franz Blei","Fanny Johnson","Directed","Franz Blei–Fanny Johnson","3"
"Franz Blei","Alfred Bates","Directed","Franz Blei–Alfred Bates","2"
"Franz Blei","Marc Henry","Directed","Franz Blei–Marc Henry","1"
"Franz Blei","William Heinemann","Directed","Franz Blei–William Heinemann","1"
"Franz Blei","Hans von Weber","Directed","Franz Blei–Hans von Weber","1"
"Franz Blei","Georg Müller","Directed","Franz Blei–Georg Müller","1"
"Franz Blei","Charles-Louis Philippe","Directed","Franz Blei–Charles-Louis Philippe","1"
"Franz Blei","Arthur Symons","Directed","Franz Blei–Arthur Symons","1"
"Franz Blei","William Butler Yeats","Directed","Franz Blei–William Butler Yeats","1"
"Franz Blei","Georg von Lukács","Directed","Franz Blei–Georg von Lukács","1"
