Source,Target,Type,Label,Weight
"Stefan Grossmann","Leopold Schwarzschild","Directed","Stefan Grossmann–Leopold Schwarzschild","6"
"Stefan Grossmann","Albert Ehrenstein","Directed","Stefan Grossmann–Albert Ehrenstein","3"
"Stefan Grossmann","Leopold Kunschak","Directed","Stefan Grossmann–Leopold Kunschak","2"
"Stefan Grossmann","Samuel Fischer","Directed","Stefan Grossmann–Samuel Fischer","2"
"Stefan Grossmann","Maximilian Harden","Directed","Stefan Grossmann–Maximilian Harden","2"
"Stefan Grossmann","Engelbert Pernerstorfer","Directed","Stefan Grossmann–Engelbert Pernerstorfer","2"
"Stefan Grossmann","Ignaz Seipel","Directed","Stefan Grossmann–Ignaz Seipel","2"
"Stefan Grossmann","Felix Salten","Directed","Stefan Grossmann–Felix Salten","1"
"Stefan Grossmann","Richard Vallentin","Directed","Stefan Grossmann–Richard Vallentin","1"
"Stefan Grossmann","Alfred Polgar","Directed","Stefan Grossmann–Alfred Polgar","1"
"Stefan Grossmann","Gustav Charlé","Directed","Stefan Grossmann–Gustav Charlé","1"
"Stefan Grossmann","Theodor Antropp","Directed","Stefan Grossmann–Theodor Antropp","1"
"Stefan Grossmann","Otto Brahm","Directed","Stefan Grossmann–Otto Brahm","1"
"Stefan Grossmann","Herbert Eulenberg","Directed","Stefan Grossmann–Herbert Eulenberg","1"
"Stefan Grossmann","Gustav Harpner","Directed","Stefan Grossmann–Gustav Harpner","1"
"Stefan Grossmann","Robert Hirschfeld","Directed","Stefan Grossmann–Robert Hirschfeld","1"
"Stefan Grossmann","Adolf Hitler","Directed","Stefan Grossmann–Adolf Hitler","1"
"Stefan Grossmann","Karl Kraus","Directed","Stefan Grossmann–Karl Kraus","1"
"Stefan Grossmann","Albert Steinrück","Directed","Stefan Grossmann–Albert Steinrück","1"
"Stefan Grossmann","Constance von Linden","Directed","Stefan Grossmann–Constance von Linden","1"
"Stefan Grossmann","Hans Ziegler","Directed","Stefan Grossmann–Hans Ziegler","1"
"Stefan Grossmann","Felix Rappaport","Directed","Stefan Grossmann–Felix Rappaport","1"
"Stefan Grossmann","Gustav Schönaich","Directed","Stefan Grossmann–Gustav Schönaich","1"
"Stefan Grossmann","Leopold Winarsky","Directed","Stefan Grossmann–Leopold Winarsky","1"
"Stefan Grossmann","Karl Höger","Directed","Stefan Grossmann–Karl Höger","1"
"Stefan Grossmann","Emil Heyse","Directed","Stefan Grossmann–Emil Heyse","1"
"Stefan Grossmann","Carl Ossietzky","Directed","Stefan Grossmann–Carl Ossietzky","1"
