Source,Target,Type,Label,Weight
"Therese Rie-Andro","Hans Pfitzner","Directed","Therese Rie-Andro–Hans Pfitzner","3"
"Therese Rie-Andro","Romain Rolland","Directed","Therese Rie-Andro–Romain Rolland","2"
"Therese Rie-Andro","Johann Schnitzler","Directed","Therese Rie-Andro–Johann Schnitzler","2"
"Therese Rie-Andro","Maximilian Herz","Directed","Therese Rie-Andro–Maximilian Herz","2"
"Therese Rie-Andro","William Shakespeare","Directed","Therese Rie-Andro–William Shakespeare","1"
"Therese Rie-Andro","Julius von Hochenegg","Directed","Therese Rie-Andro–Julius von Hochenegg","1"
"Therese Rie-Andro","Georg Friedrich Händel","Directed","Therese Rie-Andro–Georg Friedrich Händel","1"
"Therese Rie-Andro","Ludwig Thoma","Directed","Therese Rie-Andro–Ludwig Thoma","1"
"Therese Rie-Andro","Luise Ullrich","Directed","Therese Rie-Andro–Luise Ullrich","1"
"Therese Rie-Andro","Johann Sebastian Bach","Directed","Therese Rie-Andro–Johann Sebastian Bach","1"
"Therese Rie-Andro","Ernst von Dohnányi","Directed","Therese Rie-Andro–Ernst von Dohnányi","1"
"Therese Rie-Andro","Johann Wolfgang von Goethe","Directed","Therese Rie-Andro–Johann Wolfgang von Goethe","1"
"Therese Rie-Andro","Josef Kainz","Directed","Therese Rie-Andro–Josef Kainz","1"
"Therese Rie-Andro","Gustav Mahler","Directed","Therese Rie-Andro–Gustav Mahler","1"
"Therese Rie-Andro","Alexander Moissi","Directed","Therese Rie-Andro–Alexander Moissi","1"
"Therese Rie-Andro","Friedrich Nietzsche","Directed","Therese Rie-Andro–Friedrich Nietzsche","1"
"Therese Rie-Andro","Hugo Wolf","Directed","Therese Rie-Andro–Hugo Wolf","1"
"Therese Rie-Andro","Stefan Zweig","Directed","Therese Rie-Andro–Stefan Zweig","1"
"Therese Rie-Andro","Pietro Metastasio","Directed","Therese Rie-Andro–Pietro Metastasio","1"
