Source,Target,Type,Label,Weight
"Lou Andreas-Salomé","Frieda von Bülow","Directed","Lou Andreas-Salomé–Frieda von Bülow","3"
"Lou Andreas-Salomé","Paul Goldmann","Directed","Lou Andreas-Salomé–Paul Goldmann","3"
"Lou Andreas-Salomé","Gerhart Hauptmann","Directed","Lou Andreas-Salomé–Gerhart Hauptmann","2"
"Lou Andreas-Salomé","Olga Schnitzler","Directed","Lou Andreas-Salomé–Olga Schnitzler","1"
"Lou Andreas-Salomé","Fedor Mamroth","Directed","Lou Andreas-Salomé–Fedor Mamroth","1"
"Lou Andreas-Salomé","Lulu von Strauss und Torney","Directed","Lou Andreas-Salomé–Lulu von Strauss und Torney","1"
"Lou Andreas-Salomé","Ellen Delp","Directed","Lou Andreas-Salomé–Ellen Delp","1"
"Lou Andreas-Salomé","Friedrich Carl Andreas","Directed","Lou Andreas-Salomé–Friedrich Carl Andreas","1"
"Lou Andreas-Salomé","Richard Beer-Hofmann","Directed","Lou Andreas-Salomé–Richard Beer-Hofmann","1"
"Lou Andreas-Salomé","Otto Brahm","Directed","Lou Andreas-Salomé–Otto Brahm","1"
"Lou Andreas-Salomé","Georg Brandes","Directed","Lou Andreas-Salomé–Georg Brandes","1"
"Lou Andreas-Salomé","Max Halbe","Directed","Lou Andreas-Salomé–Max Halbe","1"
