Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Arno Holz","11763","Alfred Lichtwark","3403","1","Directed","Arno Holz–Alfred Lichtwark","1"
"Arno Holz","11763","Wilhelm Ostwald","3923","1","Directed","Arno Holz–Wilhelm Ostwald","1"
"Arno Holz","11763","Hans Vogeler","4557","1","Directed","Arno Holz–Hans Vogeler","1"
"Arno Holz","11763","Hans Baluschek","5708","1","Directed","Arno Holz–Hans Baluschek","1"
"Arno Holz","11763","Josef Collin","5711","1","Directed","Arno Holz–Josef Collin","1"
"Arno Holz","11763","Cornelius Gurlitt","5713","1","Directed","Arno Holz–Cornelius Gurlitt","1"
"Arno Holz","11763","Otto Eduard Lessing","5717","1","Directed","Arno Holz–Otto Eduard Lessing","1"
"Arno Holz","11763","Kurt von Mutzenbecher","5720","1","Directed","Arno Holz–Kurt von Mutzenbecher","1"
"Arno Holz","11763","Franz Muncker","5723","1","Directed","Arno Holz–Franz Muncker","1"
"Arno Holz","11763","Hermann Muthesius","5726","1","Directed","Arno Holz–Hermann Muthesius","1"
"Arno Holz","11763","Georg Reicke","5730","1","Directed","Arno Holz–Georg Reicke","1"
"Arno Holz","11763","Henry Thode","5733","1","Directed","Arno Holz–Henry Thode","1"
"Arno Holz","11763","Ferdinand Vetter","5736","1","Directed","Arno Holz–Ferdinand Vetter","1"
"Arno Holz","11763","Eugen Wolff","5741","1","Directed","Arno Holz–Eugen Wolff","1"
"Arno Holz","11763","Hermann Bahr","10815","208","Directed","Arno Holz–Hermann Bahr","1"
"Arno Holz","11763","Peter Behrens","10869","1","Directed","Arno Holz–Peter Behrens","1"
"Arno Holz","11763","Georg Brandes","10992","37","Directed","Arno Holz–Georg Brandes","1"
"Arno Holz","11763","Richard Dehmel","11148","3","Directed","Arno Holz–Richard Dehmel","1"
"Arno Holz","11763","Ludwig Fulda","11391","15","Directed","Arno Holz–Ludwig Fulda","1"
"Arno Holz","11763","Maximilian Harden","11581","20","Directed","Arno Holz–Maximilian Harden","1"
"Arno Holz","11763","Hugo Heller","11646","3","Directed","Arno Holz–Hugo Heller","1"
"Arno Holz","11763","Georg Hirth","11711","1","Directed","Arno Holz–Georg Hirth","1"
"Arno Holz","11763","Georg von Hülsen-Haeseler","11795","1","Directed","Arno Holz–Georg von Hülsen-Haeseler","1"
"Arno Holz","11763","Max Liebermann","12068","3","Directed","Arno Holz–Max Liebermann","1"
"Arno Holz","11763","Paul Lindau","12078","11","Directed","Arno Holz–Paul Lindau","1"
"Arno Holz","11763","Ernst Mach","12147","2","Directed","Arno Holz–Ernst Mach","1"
"Arno Holz","11763","Heinrich Mann","12170","6","Directed","Arno Holz–Heinrich Mann","1"
"Arno Holz","11763","Thomas Mann","12176","3","Directed","Arno Holz–Thomas Mann","1"
"Arno Holz","11763","Franz Servaes","12772","5","Directed","Arno Holz–Franz Servaes","1"
"Arno Holz","11763","Hermann Sudermann","12899","17","Directed","Arno Holz–Hermann Sudermann","1"
"Arno Holz","11763","Siegfried Wagner","13027","1","Directed","Arno Holz–Siegfried Wagner","1"
