Source,Target,Type,Label,Weight
"Albert Ehrenstein","Raoul Auernheimer","Directed","Albert Ehrenstein–Raoul Auernheimer","7"
"Albert Ehrenstein","Alexander Ehrenstein","Directed","Albert Ehrenstein–Alexander Ehrenstein","6"
"Albert Ehrenstein","Oskar Bie","Directed","Albert Ehrenstein–Oskar Bie","5"
"Albert Ehrenstein","Sigmund Kornfeld","Directed","Albert Ehrenstein–Sigmund Kornfeld","5"
"Albert Ehrenstein","Stefan Großmann","Directed","Albert Ehrenstein–Stefan Großmann","4"
"Albert Ehrenstein","Karl Kraus","Directed","Albert Ehrenstein–Karl Kraus","4"
"Albert Ehrenstein","Homer","Directed","Albert Ehrenstein–Homer","3"
"Albert Ehrenstein","Alfred Polgar","Directed","Albert Ehrenstein–Alfred Polgar","3"
"Albert Ehrenstein","Samuel Fischer","Directed","Albert Ehrenstein–Samuel Fischer","3"
"Albert Ehrenstein","August Fournier","Directed","Albert Ehrenstein–August Fournier","3"
"Albert Ehrenstein","Olga Schnitzler","Directed","Albert Ehrenstein–Olga Schnitzler","2"
"Albert Ehrenstein","Alfred Adler","Directed","Albert Ehrenstein–Alfred Adler","2"
"Albert Ehrenstein","Franz Grillparzer","Directed","Albert Ehrenstein–Franz Grillparzer","2"
"Albert Ehrenstein","Hanns von Gumppenberg","Directed","Albert Ehrenstein–Hanns von Gumppenberg","2"
"Albert Ehrenstein","Camill Hoffmann","Directed","Albert Ehrenstein–Camill Hoffmann","2"
"Albert Ehrenstein","Rudolf Alexander Schröder","Directed","Albert Ehrenstein–Rudolf Alexander Schröder","2"
"Albert Ehrenstein","?? [Studienkollege von Albert Ehrenstein]","Directed","Albert Ehrenstein–?? [Studienkollege von Albert Ehrenstein]","2"
"Albert Ehrenstein","Peter Altenberg","Directed","Albert Ehrenstein–Peter Altenberg","1"
"Albert Ehrenstein","Philipp Langmann","Directed","Albert Ehrenstein–Philipp Langmann","1"
"Albert Ehrenstein","Friedrich Hebbel","Directed","Albert Ehrenstein–Friedrich Hebbel","1"
"Albert Ehrenstein","William Shakespeare","Directed","Albert Ehrenstein–William Shakespeare","1"
"Albert Ehrenstein","Felix von Oppenheimer","Directed","Albert Ehrenstein–Felix von Oppenheimer","1"
"Albert Ehrenstein","Joseph Victor Widmann","Directed","Albert Ehrenstein–Joseph Victor Widmann","1"
"Albert Ehrenstein","Euripides","Directed","Albert Ehrenstein–Euripides","1"
"Albert Ehrenstein","Napoleon Bonaparte","Directed","Albert Ehrenstein–Napoleon Bonaparte","1"
"Albert Ehrenstein","Johann Gottfried von Herder","Directed","Albert Ehrenstein–Johann Gottfried von Herder","1"
"Albert Ehrenstein","Friedrich Halm","Directed","Albert Ehrenstein–Friedrich Halm","1"
"Albert Ehrenstein","Hans von Weber","Directed","Albert Ehrenstein–Hans von Weber","1"
"Albert Ehrenstein","Georg Müller","Directed","Albert Ehrenstein–Georg Müller","1"
"Albert Ehrenstein","Theoderich der Große","Directed","Albert Ehrenstein–Theoderich der Große","1"
