Source,Target,Weight,Type
"Kraus, Karl","Wien",23,Directed
"Kraus, Karl","Mahlerstraße",7,Directed
"Kraus, Karl","Grillparzerstraße",7,Directed
"Kraus, Karl","I., Innere Stadt",7,Directed
"Kraus, Karl","Berlin",4,Directed
"Kraus, Karl","Café Griensteidl",4,Directed
"Kraus, Karl","Bad Ischl",4,Directed
"Kraus, Karl","Bremen",3,Directed
"Kraus, Karl","Burgtheater",2,Directed
"Kraus, Karl","Frankgasse 1",2,Directed
"Kraus, Karl","IX., Alsergrund",2,Directed
"Kraus, Karl","England",2,Directed
"Kraus, Karl","Volkstheater",1,Directed
"Kraus, Karl","Österreich",1,Directed
"Kraus, Karl","Oberbayern",1,Directed
"Kraus, Karl","Beuerberg",1,Directed
"Kraus, Karl","Auf der Öd",1,Directed
"Kraus, Karl","Mauerstraße",1,Directed
"Kraus, Karl","Wiener Hof",1,Directed
"Kraus, Karl","Schultheiß",1,Directed
"Kraus, Karl","Waldemarstraße",1,Directed
"Kraus, Karl","Neues Theater",1,Directed
"Kraus, Karl","Hotel Guarnero",1,Directed
"Kraus, Karl","Opatija",1,Directed
"Kraus, Karl","Internationales Ausstellungstheater im k.k. Prater",1,Directed
"Kraus, Karl","Adriatisches Meer",1,Directed
"Kraus, Karl","Prag",1,Directed
"Kraus, Karl","Pension Quisisana",1,Directed
"Kraus, Karl","Leipzig",1,Directed
"Kraus, Karl","Burgring",1,Directed
"Kraus, Karl","Lehártheater",1,Directed
"Kraus, Karl","Wallnertheater",1,Directed
"Kraus, Karl","Oberösterreich",1,Directed
"Kraus, Karl","Marienbad",1,Directed
"Kraus, Karl","Residenztheater München",1,Directed
"Kraus, Karl","Ramsauer Garni Café",1,Directed
"Kraus, Karl","Café Luitpold",1,Directed
"Kraus, Karl","München",1,Directed
"Kraus, Karl","Schliersee",1,Directed
"Kraus, Karl","Grazer Straße [Bad Ischl]",1,Directed
"Kraus, Karl","Café Walther",1,Directed
"Kraus, Karl","New York City",1,Directed
"Kraus, Karl","Kleines Theater",1,Directed
"Kraus, Karl","New Jersey",1,Directed
"Kraus, Karl","Vereinigte Staaten von Amerika [USA]",1,Directed
"Kraus, Karl","Addison Street",1,Directed
"Kraus, Karl","Schwindgasse",1,Directed
