Source,Target,Weight,Type
"Schwarzkopf, Gustav","Wien",54,Directed
"Schwarzkopf, Gustav","Tiefer Graben 23",36,Directed
"Schwarzkopf, Gustav","I., Innere Stadt",34,Directed
"Schwarzkopf, Gustav","XVIII., Währing",19,Directed
"Schwarzkopf, Gustav","Edmund-Weiß-Gasse",9,Directed
"Schwarzkopf, Gustav","Frankgasse 1",6,Directed
"Schwarzkopf, Gustav","Edmund-Weiß-Gasse 7",4,Directed
"Schwarzkopf, Gustav","Salzburg",3,Directed
"Schwarzkopf, Gustav","Hinterbrühl",3,Directed
"Schwarzkopf, Gustav","Berlin",3,Directed
"Schwarzkopf, Gustav","Reichenau an der Rax",3,Directed
"Schwarzkopf, Gustav","Zell am See",2,Directed
"Schwarzkopf, Gustav","Bozen",2,Directed
"Schwarzkopf, Gustav","Bad Ischl",2,Directed
"Schwarzkopf, Gustav","Südtirol",2,Directed
"Schwarzkopf, Gustav","IX., Alsergrund",2,Directed
"Schwarzkopf, Gustav","Sekirn",2,Directed
"Schwarzkopf, Gustav","Hochschwab",2,Directed
"Schwarzkopf, Gustav","Graz",1,Directed
"Schwarzkopf, Gustav","Steinach",1,Directed
"Schwarzkopf, Gustav","Schladming",1,Directed
"Schwarzkopf, Gustav","Bischofshofen",1,Directed
"Schwarzkopf, Gustav","Bruck an der Großglocknerstraße",1,Directed
"Schwarzkopf, Gustav","Bad Fusch",1,Directed
"Schwarzkopf, Gustav","Ferleiten",1,Directed
"Schwarzkopf, Gustav","Bad Gastein",1,Directed
"Schwarzkopf, Gustav","Villa Dr. Wassing",1,Directed
"Schwarzkopf, Gustav","Velden am Wörthersee",1,Directed
"Schwarzkopf, Gustav","Pension Pundschu",1,Directed
"Schwarzkopf, Gustav","Toblach",1,Directed
"Schwarzkopf, Gustav","Villach",1,Directed
"Schwarzkopf, Gustav","Trient",1,Directed
"Schwarzkopf, Gustav","Südbahnhotel [Toblach]",1,Directed
"Schwarzkopf, Gustav","Thüringen",1,Directed
"Schwarzkopf, Gustav","Bad Aussee",1,Directed
"Schwarzkopf, Gustav","Berghaus Moserboden",1,Directed
"Schwarzkopf, Gustav","Innsbruck",1,Directed
"Schwarzkopf, Gustav","Bludenz",1,Directed
"Schwarzkopf, Gustav","Schruns",1,Directed
"Schwarzkopf, Gustav","Pontresina",1,Directed
"Schwarzkopf, Gustav","Bormio",1,Directed
"Schwarzkopf, Gustav","Trafoi",1,Directed
"Schwarzkopf, Gustav","Solda",1,Directed
"Schwarzkopf, Gustav","Italien",1,Directed
"Schwarzkopf, Gustav","Iseosee",1,Directed
"Schwarzkopf, Gustav","Schweiz",1,Directed
"Schwarzkopf, Gustav","Hotel und Pension Rudolfshöhe (Leopold Petter)",1,Directed
"Schwarzkopf, Gustav","Vahrn",1,Directed
"Schwarzkopf, Gustav","Wörthersee",1,Directed
"Schwarzkopf, Gustav","Karersee",1,Directed
"Schwarzkopf, Gustav","Tierser Tal",1,Directed
"Schwarzkopf, Gustav","Pension Powolny",1,Directed
"Schwarzkopf, Gustav","Gasthof und Pension Waldsacker",1,Directed
"Schwarzkopf, Gustav","Strobl",1,Directed
"Schwarzkopf, Gustav","Jihlava",1,Directed
"Schwarzkopf, Gustav","Zirkus Renz",1,Directed
"Schwarzkopf, Gustav","Gentzgasse 110",1,Directed
"Schwarzkopf, Gustav","Dresden",1,Directed
"Schwarzkopf, Gustav","Neapel",1,Directed
"Schwarzkopf, Gustav","Rom",1,Directed
"Schwarzkopf, Gustav","Palermo",1,Directed
"Schwarzkopf, Gustav","Rax",1,Directed
"Schwarzkopf, Gustav","Zwickau",1,Directed
"Schwarzkopf, Gustav","Theater in der Josefstadt",1,Directed
"Schwarzkopf, Gustav","Ottakringer Bräu",1,Directed
"Schwarzkopf, Gustav","Theater an der Wien",1,Directed
"Schwarzkopf, Gustav","VII., Neubau",1,Directed
"Schwarzkopf, Gustav","Kurhaus Rudolfsbad",1,Directed
"Schwarzkopf, Gustav","Rodaun",1,Directed
"Schwarzkopf, Gustav","Hotel Radetzky",1,Directed
"Schwarzkopf, Gustav","Wiener Bürgertheater",1,Directed
"Schwarzkopf, Gustav","Lustspieltheater [Wien]",1,Directed
"Schwarzkopf, Gustav","Edlach",1,Directed
"Schwarzkopf, Gustav","München",1,Directed
"Schwarzkopf, Gustav","Niederösterreich",1,Directed
"Schwarzkopf, Gustav","Sternwartestraße 71",1,Directed
"Schwarzkopf, Gustav","Weißenbach am Attersee",1,Directed
"Schwarzkopf, Gustav","Obertressen",1,Directed
"Schwarzkopf, Gustav","Salzkammergut",1,Directed
"Schwarzkopf, Gustav","Lunz am See",1,Directed
