Source,Target,Weight,Type
"Hofmannsthal, Hugo von","Gießhüblerstraße",3,Directed
"Hofmannsthal, Hugo von","Kärnten",3,Directed
"Hofmannsthal, Hugo von","Vicenza",3,Directed
"Hofmannsthal, Hugo von","Thüringen",3,Directed
"Hofmannsthal, Hugo von","Pension Pundschu",3,Directed
"Hofmannsthal, Hugo von","Trient",3,Directed
"Hofmannsthal, Hugo von","San Martino di Castrozza",3,Directed
"Hofmannsthal, Hugo von","Edlach",3,Directed
"Hofmannsthal, Hugo von","Wildbad Waldbrunn",3,Directed
"Hofmannsthal, Hugo von","Stubaital",3,Directed
"Hofmannsthal, Hugo von","Hôtel Hassler",3,Directed
"Hofmannsthal, Hugo von","Madonna di Campiglio",3,Directed
"Hofmannsthal, Hugo von","Brünn",3,Directed
"Hofmannsthal, Hugo von","Stazione di Venezia Santa Lucia",3,Directed
"Hofmannsthal, Hugo von","Taormina",3,Directed
"Hofmannsthal, Hugo von","Rax",3,Directed
"Hofmannsthal, Hugo von","Wolfgangsee",3,Directed
"Hofmannsthal, Hugo von","Hamburg",3,Directed
"Hofmannsthal, Hugo von","Helsingør",3,Directed
"Hofmannsthal, Hugo von","Marienlyst",3,Directed
"Hofmannsthal, Hugo von","Seis am Schlern",3,Directed
"Hofmannsthal, Hugo von","Engadin",3,Directed
"Hofmannsthal, Hugo von","Obertressen",3,Directed
"Hofmannsthal, Hugo von","Hotel Esplanade [Berlin]",3,Directed
"Hofmannsthal, Hugo von","Irland",2,Directed
"Hofmannsthal, Hugo von","Kahlenberg",2,Directed
"Hofmannsthal, Hugo von","Ordination Arthur Schnitzler [Bösendorferstraße 11]",2,Directed
"Hofmannsthal, Hugo von","Internationales Ausstellungstheater im k.k. Prater",2,Directed
"Hofmannsthal, Hugo von","Siebenbrunnengasse",2,Directed
"Hofmannsthal, Hugo von","Karlsbad",2,Directed
"Hofmannsthal, Hugo von","Pustertal",2,Directed
"Hofmannsthal, Hugo von","Valle d’Ampezzo",2,Directed
"Hofmannsthal, Hugo von","Böhmen",2,Directed
"Hofmannsthal, Hugo von","Raimund-Theater",2,Directed
"Hofmannsthal, Hugo von","Arsenal",2,Directed
"Hofmannsthal, Hugo von","Stephansdom",2,Directed
"Hofmannsthal, Hugo von","Polen",2,Directed
"Hofmannsthal, Hugo von","Stockerau",2,Directed
"Hofmannsthal, Hugo von","Bad Reichenhall",2,Directed
"Hofmannsthal, Hugo von","Tłumacz",2,Directed
"Hofmannsthal, Hugo von","Trondheim",2,Directed
"Hofmannsthal, Hugo von","Uppsala",2,Directed
"Hofmannsthal, Hugo von","Habsburgergasse",2,Directed
"Hofmannsthal, Hugo von","Café Arkaden",2,Directed
"Hofmannsthal, Hugo von","Versailles",2,Directed
"Hofmannsthal, Hugo von","Weidlingbach",2,Directed
"Hofmannsthal, Hugo von","Hütteldorf",2,Directed
"Hofmannsthal, Hugo von","Saalfelden am Steinernen Meer",2,Directed
"Hofmannsthal, Hugo von","Ramsau bei Berchtesgaden",2,Directed
"Hofmannsthal, Hugo von","Berchtesgaden",2,Directed
"Hofmannsthal, Hugo von","Grand Hotel Varese",2,Directed
"Hofmannsthal, Hugo von","Varese",2,Directed
"Hofmannsthal, Hugo von","Café Kaiserhof (Inh. Johann Wortner) [Wien]",2,Directed
"Hofmannsthal, Hugo von","Pressbaum",2,Directed
"Hofmannsthal, Hugo von","Steindorf am Ossiacher See",2,Directed
"Hofmannsthal, Hugo von","Maloja",2,Directed
"Hofmannsthal, Hugo von","Bad Gastein",2,Directed
"Hofmannsthal, Hugo von","Hotel Weilguni",2,Directed
"Hofmannsthal, Hugo von","Ferleiten",2,Directed
"Hofmannsthal, Hugo von","Biel",2,Directed
"Hofmannsthal, Hugo von","Genfer See",2,Directed
"Hofmannsthal, Hugo von","Bregenz",2,Directed
"Hofmannsthal, Hugo von","Hôtel du Parc & Bristol",2,Directed
"Hofmannsthal, Hugo von","Verona",2,Directed
"Hofmannsthal, Hugo von","Padua",2,Directed
"Hofmannsthal, Hugo von","Le due Torri: Garisenda e degli Asinelli",2,Directed
"Hofmannsthal, Hugo von","Hotel de l’Europe [Venedig]",2,Directed
"Hofmannsthal, Hugo von","Ilmenau",2,Directed
"Hofmannsthal, Hugo von","Hotel Windsor",2,Directed
"Hofmannsthal, Hugo von","Südbahnhof",2,Directed
"Hofmannsthal, Hugo von","Hotel Klinger",2,Directed
"Hofmannsthal, Hugo von","Hotel am See",2,Directed
"Hofmannsthal, Hugo von","Gasthaus Brunnthaler",2,Directed
"Hofmannsthal, Hugo von","Sankt Michael",2,Directed
"Hofmannsthal, Hugo von","Grand Hotel Britannia",2,Directed
"Hofmannsthal, Hugo von","Wiesbaden",2,Directed
"Hofmannsthal, Hugo von","Genua",2,Directed
"Hofmannsthal, Hugo von","Boulevard Haussmann",2,Directed
"Hofmannsthal, Hugo von","Villennes-sur-Seine",2,Directed
"Hofmannsthal, Hugo von","Dalmatien",2,Directed
"Hofmannsthal, Hugo von","Opatija",2,Directed
"Hofmannsthal, Hugo von","Kurhaus Rudolfsbad",2,Directed
"Hofmannsthal, Hugo von","Österreichischer Hof",2,Directed
"Hofmannsthal, Hugo von","Glion",2,Directed
"Hofmannsthal, Hugo von","Burg Liechtenstein",2,Directed
"Hofmannsthal, Hugo von","Kärntner Straße",2,Directed
"Hofmannsthal, Hugo von","Palais Thun-Salm",2,Directed
"Hofmannsthal, Hugo von","Jagniątków",2,Directed
"Hofmannsthal, Hugo von","Budapest",2,Directed
"Hofmannsthal, Hugo von","Europa",2,Directed
"Hofmannsthal, Hugo von","Garmisch-Partenkirchen",2,Directed
"Hofmannsthal, Hugo von","Hotel Bellevue [Cortina d’Ampezzo]",2,Directed
"Hofmannsthal, Hugo von","Val Sugana",2,Directed
"Hofmannsthal, Hugo von","Türkenschanzpark",2,Directed
"Hofmannsthal, Hugo von","Palermo",2,Directed
"Hofmannsthal, Hugo von","Sizilien",2,Directed
"Hofmannsthal, Hugo von","IV., Wieden",2,Directed
"Hofmannsthal, Hugo von","Mauer",2,Directed
"Hofmannsthal, Hugo von","Hotel Kaiserkrone",2,Directed
"Hofmannsthal, Hugo von","X., Favoriten",2,Directed
"Hofmannsthal, Hugo von","Amerika",2,Directed
"Hofmannsthal, Hugo von","Theater an der Wien",2,Directed
"Hofmannsthal, Hugo von","Wels",2,Directed
"Hofmannsthal, Hugo von","Misurina",2,Directed
"Hofmannsthal, Hugo von","Kurhotellet",2,Directed
"Hofmannsthal, Hugo von","Café Tomaselli",2,Directed
"Hofmannsthal, Hugo von","Himmelpfortgasse",2,Directed
"Hofmannsthal, Hugo von","Ravenna",2,Directed
"Hofmannsthal, Hugo von","Sanatorium Loew",2,Directed
"Hofmannsthal, Hugo von","Perugia",2,Directed
"Hofmannsthal, Hugo von","Gasthaus Gosauschmied",2,Directed
"Hofmannsthal, Hugo von","Vorderer Gosausee",2,Directed
