Source,Target,Weight,Type
"Torresani, Carl von","Wien",6,Directed
"Torresani, Carl von","Kärntnerring 12/Bösendorferstraße 11",2,Directed
"Torresani, Carl von","Venedig",2,Directed
"Torresani, Carl von","Albergo Metropole",1,Directed
"Torresani, Carl von","Österreich",1,Directed
"Torresani, Carl von","Lessing-Theater",1,Directed
"Torresani, Carl von","Paris",1,Directed
"Torresani, Carl von","rue Clément-Marot, 18",1,Directed
"Torresani, Carl von","Berlin",1,Directed
"Torresani, Carl von","Baden bei Wien",1,Directed
"Torresani, Carl von","Café Kremser",1,Directed
"Torresani, Carl von","Rom",1,Directed
"Torresani, Carl von","Piazza Montecitorio 121",1,Directed
"Torresani, Carl von","Frankreich",1,Directed
"Torresani, Carl von","Wohnung und Ordination Arthur Schnitzler Grillparzerstraße 7/3. Stock",1,Directed
"Torresani, Carl von","Tuchlauben 7",1,Directed
"Torresani, Carl von","Torbole sul Garda",1,Directed
"Torresani, Carl von","Lago di Garda",1,Directed
