Source,Target,Weight,Type
"Freud, Sigmund","Wien",14,Directed
"Freud, Sigmund","Berggasse 19",9,Directed
"Freud, Sigmund","Berlin",2,Directed
"Freud, Sigmund","Zürich",2,Directed
"Freud, Sigmund","Leipzig",2,Directed
"Freud, Sigmund","Cottage-Sanatorium für Nerven- und Stoffwechselkranke",2,Directed
"Freud, Sigmund","Edmund-Weiß-Gasse",1,Directed
"Freud, Sigmund","Sternwartestraße",1,Directed
"Freud, Sigmund","Sternwartestraße 74",1,Directed
"Freud, Sigmund","Semmering",1,Directed
"Freud, Sigmund","Mittelmeer",1,Directed
"Freud, Sigmund","Las Palmas de Gran Canaria",1,Directed
"Freud, Sigmund","Hamburg",1,Directed
"Freud, Sigmund","Atlantischer Ozean",1,Directed
