Source,Target,Weight,Type
"Fels, Friedrich M.","Wien",28,Directed
"Fels, Friedrich M.","Frankgasse 1",8,Directed
"Fels, Friedrich M.","IX., Alsergrund",8,Directed
"Fels, Friedrich M.","Meran",6,Directed
"Fels, Friedrich M.","Zürich",6,Directed
"Fels, Friedrich M.","Hotel Erzherzog Rainer [Meran]",3,Directed
"Fels, Friedrich M.","Krütznergasse",3,Directed
"Fels, Friedrich M.","Währinger Gürtel",3,Directed
"Fels, Friedrich M.","I., Innere Stadt",3,Directed
"Fels, Friedrich M.","Berlin",3,Directed
"Fels, Friedrich M.","Österreich",3,Directed
"Fels, Friedrich M.","Café Central",2,Directed
"Fels, Friedrich M.","II., Leopoldstadt",2,Directed
"Fels, Friedrich M.","Reisnerstraße",2,Directed
"Fels, Friedrich M.","München",2,Directed
"Fels, Friedrich M.","Obermais",2,Directed
"Fels, Friedrich M.","Deutschland",2,Directed
"Fels, Friedrich M.","Rämistrasse",2,Directed
"Fels, Friedrich M.","Schweiz",2,Directed
"Fels, Friedrich M.","Schifflände",2,Directed
"Fels, Friedrich M.","Joseph G. Wieninger, Weinhandlung",1,Directed
"Fels, Friedrich M.","Buchfeldgasse",1,Directed
"Fels, Friedrich M.","Tuchlauben",1,Directed
"Fels, Friedrich M.","Strohgasse",1,Directed
"Fels, Friedrich M.","Franzensfeste",1,Directed
"Fels, Friedrich M.","Villach",1,Directed
"Fels, Friedrich M.","Bozen",1,Directed
"Fels, Friedrich M.","Leipzig",1,Directed
"Fels, Friedrich M.","XVIII., Währing",1,Directed
"Fels, Friedrich M.","Olomouc",1,Directed
