Source,Target,Weight,Type
"Grossmann, Stefan","Wien",34,Directed
"Grossmann, Stefan","Berlin",14,Directed
"Grossmann, Stefan","Sternwartestraße 71",8,Directed
"Grossmann, Stefan","Beuthstrasse",8,Directed
"Grossmann, Stefan","Mariahilfer Straße",6,Directed
"Grossmann, Stefan","XVIII., Währing",6,Directed
"Grossmann, Stefan","Deutschland",4,Directed
"Grossmann, Stefan","Graben",3,Directed
"Grossmann, Stefan","VI., Mariahilf",3,Directed
"Grossmann, Stefan","Königseggasse",3,Directed
"Grossmann, Stefan","Linke Wienzeile",2,Directed
"Grossmann, Stefan","München",2,Directed
"Grossmann, Stefan","Dominikanerbastei",2,Directed
"Grossmann, Stefan","Potsdamer Straße",2,Directed
"Grossmann, Stefan","Österreich",2,Directed
"Grossmann, Stefan","Spiegelgasse",1,Directed
"Grossmann, Stefan","Lange Gasse",1,Directed
"Grossmann, Stefan","Verbandsheim",1,Directed
"Grossmann, Stefan","Gumpendorfer Straße",1,Directed
"Grossmann, Stefan","I., Innere Stadt",1,Directed
"Grossmann, Stefan","Schönbrunnerstraße",1,Directed
"Grossmann, Stefan","Hotel Vier Jahreszeiten",1,Directed
