Source,Target,Weight,Type
"Herzl, Theodor","Wien",111,Directed
"Herzl, Theodor","Paris",51,Directed
"Herzl, Theodor","8, rue de Monceau",20,Directed
"Herzl, Theodor","Berlin",19,Directed
"Herzl, Theodor","Fichtegasse 11",16,Directed
"Herzl, Theodor","Palais Bourbon",10,Directed
"Herzl, Theodor","Bad Ischl",8,Directed
"Herzl, Theodor","Frankreich",8,Directed
"Herzl, Theodor","Prag",8,Directed
"Herzl, Theodor","Reisnerstraße 35",7,Directed
"Herzl, Theodor","Bad Aussee",6,Directed
"Herzl, Theodor","Burgtheater",5,Directed
"Herzl, Theodor","Baden bei Wien",5,Directed
"Herzl, Theodor","Österreich-Ungarn",4,Directed
"Herzl, Theodor","Salzburg",4,Directed
"Herzl, Theodor","37, Rue Cambon",4,Directed
"Herzl, Theodor","München",3,Directed
"Herzl, Theodor","Italien",3,Directed
"Herzl, Theodor","Frankgasse 1",3,Directed
"Herzl, Theodor","Kammer",2,Directed
"Herzl, Theodor","Wohnung und Ordination Arthur Schnitzler Grillparzerstraße 7/3. Stock",2,Directed
"Herzl, Theodor","Carl-Theater",2,Directed
"Herzl, Theodor","Hotel und Pension Rudolfshöhe (Leopold Petter)",2,Directed
"Herzl, Theodor","Reisnerstraße 25",2,Directed
"Herzl, Theodor","III., Landstraße",2,Directed
"Herzl, Theodor","Breslau",2,Directed
"Herzl, Theodor","place de la Madeleine",2,Directed
"Herzl, Theodor","Weimarer Straße 50",2,Directed
"Herzl, Theodor","XVIII., Währing",2,Directed
"Herzl, Theodor","Schörfling",1,Directed
"Herzl, Theodor","Hotel Kammer",1,Directed
"Herzl, Theodor","Niederlande",1,Directed
"Herzl, Theodor","Belgien",1,Directed
"Herzl, Theodor","Innsbruck",1,Directed
"Herzl, Theodor","Zelinkagasse 11",1,Directed
"Herzl, Theodor","Burgtheater [Altes Burgtheater]",1,Directed
"Herzl, Theodor","Calvados",1,Directed
"Herzl, Theodor","Villa des Oeillets",1,Directed
"Herzl, Theodor","Houlgate",1,Directed
"Herzl, Theodor","Kärntnerring 12/Bösendorferstraße 11",1,Directed
"Herzl, Theodor","Marc-Aurel-Straße 7",1,Directed
"Herzl, Theodor","I., Innere Stadt",1,Directed
"Herzl, Theodor","Brünn",1,Directed
"Herzl, Theodor","Toledo",1,Directed
"Herzl, Theodor","Brüssel",1,Directed
"Herzl, Theodor","Panamakanal",1,Directed
"Herzl, Theodor","Jerusalem",1,Directed
"Herzl, Theodor","Bruck an der Leitha",1,Directed
"Herzl, Theodor","Rathaus [Wien]",1,Directed
"Herzl, Theodor","Rathauspark",1,Directed
"Herzl, Theodor","Café Reichsrath (Inh. Karl Auböck)",1,Directed
"Herzl, Theodor","Lessing-Theater",1,Directed
"Herzl, Theodor","Neapel",1,Directed
"Herzl, Theodor","Hotel & Pension Frohnalp",1,Directed
"Herzl, Theodor","Vierwaldstättersee",1,Directed
"Herzl, Theodor","Morschach",1,Directed
"Herzl, Theodor","Axenstein",1,Directed
"Herzl, Theodor","Brunnen",1,Directed
"Herzl, Theodor","Hotel Axenstein",1,Directed
"Herzl, Theodor","Österreich",1,Directed
"Herzl, Theodor","Schweiz",1,Directed
"Herzl, Theodor","Helenenstraße 71",1,Directed
"Herzl, Theodor","Wohnung und Ordination Johann Schnitzler Burgring 1",1,Directed
"Herzl, Theodor","Café Griensteidl",1,Directed
"Herzl, Theodor","Meissl & Schadn",1,Directed
"Herzl, Theodor","Venedig",1,Directed
"Herzl, Theodor","Toulon",1,Directed
"Herzl, Theodor","Russland",1,Directed
"Herzl, Theodor","Café Imperial",1,Directed
"Herzl, Theodor","Hotel Tegetthoff",1,Directed
"Herzl, Theodor","Schulhof 6",1,Directed
"Herzl, Theodor","Reisnerstraße",1,Directed
"Herzl, Theodor","rue Monceau",1,Directed
"Herzl, Theodor","Passage de l'Opéra",1,Directed
"Herzl, Theodor","Cabinet de lecture",1,Directed
"Herzl, Theodor","Amalfi",1,Directed
"Herzl, Theodor","Ravello",1,Directed
"Herzl, Theodor","8. arrondissement [Paris]",1,Directed
"Herzl, Theodor","Sizilien",1,Directed
"Herzl, Theodor","Grand Hôtel",1,Directed
"Herzl, Theodor","Hörlgasse 12",1,Directed
"Herzl, Theodor","Wiesbaden",1,Directed
"Herzl, Theodor","New York City",1,Directed
"Herzl, Theodor","Deutschland",1,Directed
"Herzl, Theodor","Salzkammergut",1,Directed
"Herzl, Theodor","Böhmen",1,Directed
"Herzl, Theodor","Villa Fuchs",1,Directed
"Herzl, Theodor","Bahnhof Bad Aussee",1,Directed
"Herzl, Theodor","Hôtel Kaiserin Elisabeth",1,Directed
"Herzl, Theodor","Litomyšl",1,Directed
"Herzl, Theodor","Währinger Cottage",1,Directed
