Source,Target,Weight,Type
"Blumenthal, Oskar","Wien",11,Directed
"Blumenthal, Oskar","Berlin",10,Directed
"Blumenthal, Oskar","Kapelle-Ufer",4,Directed
"Blumenthal, Oskar","Lauffen",2,Directed
"Blumenthal, Oskar","Alexanderstraße",1,Directed
"Blumenthal, Oskar","Hotel Sacher",1,Directed
"Blumenthal, Oskar","I., Innere Stadt",1,Directed
"Blumenthal, Oskar","Meiningen",1,Directed
"Blumenthal, Oskar","New York City",1,Directed
"Blumenthal, Oskar","München",1,Directed
"Blumenthal, Oskar","Theater des Westens",1,Directed
"Blumenthal, Oskar","Neues Theater",1,Directed
"Blumenthal, Oskar","Schauspielhaus Berlin",1,Directed
"Blumenthal, Oskar","Bundesallee",1,Directed
