"Textsorte","Anzahl"
Anderes,0
Bild,0
Fotografie,2
Brief,247
Briefentwurf,0
Karte,19
Postkarte,43
Bildpostkarte,64
Briefkarte,22
Visitenkarte,8
Kartenbrief,11
Telegramm,3
Telegrammentwurf,0
Umschlag,0
Widmung,0
Widmung Umschlag,0
Widmung Vorsatzblatt,9
Widmung Schmutztitel,11
Widmung Vortitel,0
Widmung Titelblatt,11
