"Textsorte","Anzahl"
Anderes,0
Bild,0
Fotografie,0
Brief,321
Briefentwurf,0
Karte,0
Postkarte,125
Bildpostkarte,47
Briefkarte,50
Visitenkarte,4
Kartenbrief,19
Telegramm,14
Telegrammentwurf,0
Umschlag,0
Widmung,0
Widmung Umschlag,1
Widmung Vorsatzblatt,10
Widmung Schmutztitel,4
Widmung Vortitel,0
Widmung Titelblatt,2
