Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1901","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1901","17"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1902","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1902","6"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1903","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1903","9"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1904","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1904","3"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1905","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1905","9"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1907","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1907","4"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1909","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1909","3"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1910","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1910","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1911","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1911","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1912","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1912","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1913","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1913","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1914","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1914","3"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1915","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1915","2"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1916","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1916","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1917","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1917","4"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1918","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1918","3"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1919","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1919","4"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1920","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1920","2"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1921","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1921","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1922","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1922","4"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1924","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1924","2"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1925","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1925","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1926","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1926","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1927","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1927","5"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","10863","1929","Undirected","Hugo von Hofmannsthal – Richard Beer-Hofmann, 1929","1"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1891","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1891","14"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1892","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1892","39"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1893","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1893","33"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1894","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1894","15"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1895","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1895","14"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1896","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1896","18"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1897","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1897","36"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1898","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1898","42"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1899","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1899","44"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1900","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1900","19"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1901","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1901","16"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1902","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1902","23"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1903","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1903","29"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1904","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1904","55"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1905","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1905","20"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1906","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1906","21"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1907","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1907","26"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1908","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1908","14"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1909","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1909","11"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1910","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1910","21"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1911","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1911","12"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1912","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1912","14"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1913","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1913","2"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","11740","1914","Undirected","Arthur Schnitzler – Hugo von Hofmannsthal, 1914","7"
