year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1885,0,
1886,0,
1887,0,
1888,0,0
1889,0,0
1890,0,0
1891,18,0
1892,31,0
1893,47,0
1894,61,0
1895,54,0
1896,54,0
1897,51,0
1898,47,0
1899,62,0
1900,39,0
1901,40,0
1902,14,0
1903,24,0
1904,36,0
1905,26,0
1906,14,0
1907,31,0
1908,28,0
1909,30,0
1910,39,0
1911,9,0
1912,17,0
1913,9,0
1914,20,0
1915,3,0
1916,7,0
1917,7,0
1918,5,0
1919,1,0
1920,3,0
1921,3,0
1922,4,0
1923,2,0
1924,3,0
1925,3,0
1926,3,0
1927,4,0
1928,1,0
1929,1,0
1930,2,0
1931,2,0
