year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1885,0,
1886,0,
1887,0,
1888,0,0
1889,0,0
1890,0,0
1891,10,0
1892,19,0
1893,18,0
1894,22,0
1895,23,0
1896,17,0
1897,22,0
1898,15,0
1899,22,0
1900,11,0
1901,14,0
1902,29,0
1903,32,0
1904,21,0
1905,17,0
1906,32,0
1907,21,0
1908,13,0
1909,11,0
1910,14,0
1911,4,0
1912,7,0
1913,3,0
1914,3,0
1915,2,0
1916,1,0
1917,3,0
1918,0,0
1919,2,0
1920,0,0
1921,6,0
1922,6,0
1923,3,0
1924,2,0
1925,4,0
1926,1,0
1927,6,0
1928,4,0
1929,6,0
1930,5,0
1931,3,0
