year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1885,0,
1886,0,
1887,0,
1888,0,0
1889,0,0
1890,0,0
1891,16,0
1892,39,0
1893,32,0
1894,19,0
1895,15,0
1896,17,0
1897,37,0
1898,45,0
1899,45,0
1900,20,0
1901,17,0
1902,23,0
1903,29,0
1904,56,0
1905,21,0
1906,21,0
1907,27,0
1908,14,0
1909,14,0
1910,22,0
1911,13,0
1912,15,0
1913,2,0
1914,7,0
1915,3,0
1916,4,0
1917,5,0
1918,3,0
1919,5,0
1920,9,0
1921,1,0
1922,2,0
1923,4,0
1924,6,0
1925,9,0
1926,2,0
1927,4,0
1928,5,0
1929,10,0
1930,2,0
1931,4,0
