Source,Target,Weight,Type
"Adam, Robert","S. Fischer Verlag",5,Directed
"Adam, Robert","Nationaltheater München",3,Directed
"Adam, Robert","Bezirksgericht Wien Josefstadt",3,Directed
"Adam, Robert","Genossenschaft dramatischer Autoren und Komponisten in Österreich",3,Directed
"Adam, Robert","Burgtheater",2,Directed
"Adam, Robert","Der Merker",2,Directed
"Adam, Robert","Privatbibliothek der Wiener Justizbeamten",2,Directed
"Adam, Robert","Handelsgericht Wien",2,Directed
"Adam, Robert","Hugo Heller",1,Directed
"Adam, Robert","Die Schaubühne / Die Weltbühne",1,Directed
"Adam, Robert","Bezirksgericht Wien Floridsdorf",1,Directed
"Adam, Robert","Nobelpreis",1,Directed
"Adam, Robert","Reuther & Reichard",1,Directed
"Adam, Robert","Siegfried Cronbach",1,Directed
"Adam, Robert","Prager Tagblatt",1,Directed
"Adam, Robert","Carl Gerold’s Sohn",1,Directed
"Adam, Robert","Vereinigung der österreichischen Richterinnen und Richter",1,Directed
"Adam, Robert","Amerikanische Kinderhilfsaktion",1,Directed
"Adam, Robert","Ullstein Verlag",1,Directed
"Adam, Robert","Vereinigung der fachmännischen Laienrichter Österreichs",1,Directed
"Adam, Robert","Österreichische Nationalbibliothek",1,Directed
"Adam, Robert","Drei Masken-Verlag",1,Directed
