Source,Target,Weight,Type
"Bahr, Hermann","Die Zeit. Wiener Wochenschrift",41,Directed
"Bahr, Hermann","S. Fischer Verlag",28,Directed
"Bahr, Hermann","Neues Wiener Tagblatt",16,Directed
"Bahr, Hermann","Neue Freie Presse",7,Directed
"Bahr, Hermann","Deutsches Theater Berlin",7,Directed
"Bahr, Hermann","Burgtheater",7,Directed
"Bahr, Hermann","Wiener Verlag",6,Directed
"Bahr, Hermann","Deutsche Zeitung",4,Directed
"Bahr, Hermann","Berliner Tageblatt",4,Directed
"Bahr, Hermann","Franz-Grillparzer-Preis",4,Directed
"Bahr, Hermann","Kammerspiele Berlin",4,Directed
"Bahr, Hermann","Lessing-Theater",3,Directed
"Bahr, Hermann","Nationaltheater München",3,Directed
"Bahr, Hermann","Volkstheater",2,Directed
"Bahr, Hermann","Cosmopolis",2,Directed
"Bahr, Hermann","Jung-Wiener Theater zum Lieben Augustin",2,Directed
"Bahr, Hermann","Neues Wiener Journal",2,Directed
"Bahr, Hermann","Pensionsanstalt deutscher Journalisten und Schriftsteller",2,Directed
"Bahr, Hermann","Niederösterreichische Statthalterei",2,Directed
"Bahr, Hermann","Bauernfeld-Preis",2,Directed
"Bahr, Hermann","Bibliographisches Bureau",1,Directed
"Bahr, Hermann","Landesmuseum Burgenland",1,Directed
"Bahr, Hermann","Südbahnstrecke",1,Directed
"Bahr, Hermann","E. Pierson’s Verlag",1,Directed
"Bahr, Hermann","Berliner Neueste Nachrichten",1,Directed
"Bahr, Hermann","Neues Theater",1,Directed
"Bahr, Hermann","Brakl’s Rubinverlag",1,Directed
"Bahr, Hermann","Gemütliche Harmonie",1,Directed
"Bahr, Hermann","Romanwelt",1,Directed
"Bahr, Hermann","Freie Bühne",1,Directed
