Source,Target,Weight,Type
"Hofmannsthal, Hugo von","S. Fischer Verlag",24,Directed
"Hofmannsthal, Hugo von","Burgtheater",17,Directed
"Hofmannsthal, Hugo von","Deutsche Zeitung",5,Directed
"Hofmannsthal, Hugo von","Neue Freie Presse",5,Directed
"Hofmannsthal, Hugo von","Bibliographisches Bureau",4,Directed
"Hofmannsthal, Hugo von","Die Zeit. Wiener Wochenschrift",4,Directed
"Hofmannsthal, Hugo von","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne",4,Directed
"Hofmannsthal, Hugo von","Morgen. Wochenschrift für deutsche Kultur",4,Directed
"Hofmannsthal, Hugo von","E. Pierson’s Verlag",3,Directed
"Hofmannsthal, Hugo von","»Freie Bühne« Verein für moderne Literatur",3,Directed
"Hofmannsthal, Hugo von","Carl Steinhardt & Co.",3,Directed
"Hofmannsthal, Hugo von","Wiener Akademische Vereinigung",3,Directed
"Hofmannsthal, Hugo von","Concordia. Journalisten- und Schriftstellerverein",3,Directed
"Hofmannsthal, Hugo von","Allgemeine Bodencreditanstalt",3,Directed
"Hofmannsthal, Hugo von","Deutsches Theater Berlin",3,Directed
"Hofmannsthal, Hugo von","Kleines Theater",3,Directed
"Hofmannsthal, Hugo von","Adolf Bonz & Comp.",2,Directed
"Hofmannsthal, Hugo von","Volkstheater",2,Directed
"Hofmannsthal, Hugo von","Neue akademische Vereinigung",2,Directed
"Hofmannsthal, Hugo von","Galerie Miethke",2,Directed
"Hofmannsthal, Hugo von","Orientalische Akademie",2,Directed
"Hofmannsthal, Hugo von","Franz-Grillparzer-Preis",2,Directed
"Hofmannsthal, Hugo von","Ebner-Eschenbach-Stiftung",2,Directed
"Hofmannsthal, Hugo von","Südbahnstrecke",2,Directed
"Hofmannsthal, Hugo von","Raimund-Preis",2,Directed
"Hofmannsthal, Hugo von","Erich-Reiss-Verlag",2,Directed
"Hofmannsthal, Hugo von","Linzer Volksblatt",1,Directed
"Hofmannsthal, Hugo von","Schmeitzner Verlagsbuchhandlung",1,Directed
"Hofmannsthal, Hugo von","Mozart Zentenarfeier 14.–17. 7. 1891",1,Directed
"Hofmannsthal, Hugo von","Österreichischer Gewerbeverein",1,Directed
