Source,Target,Weight,Type
"Schwarzkopf, Gustav","Olga Schnitzler",78,Directed
"Schwarzkopf, Gustav","Max Schwarzkopf",66,Directed
"Schwarzkopf, Gustav","Richard Beer-Hofmann",44,Directed
"Schwarzkopf, Gustav","Heinrich Schnitzler",37,Directed
"Schwarzkopf, Gustav","Lili Cappellini",29,Directed
"Schwarzkopf, Gustav","Hugo von Hofmannsthal",26,Directed
"Schwarzkopf, Gustav","Louise Schnitzler",22,Directed
"Schwarzkopf, Gustav","Paul Goldmann",21,Directed
"Schwarzkopf, Gustav","Elisabeth Steinrück",19,Directed
"Schwarzkopf, Gustav","Paul Marx",15,Directed
"Schwarzkopf, Gustav","Felix Salten",14,Directed
"Schwarzkopf, Gustav","Jakob Wassermann",13,Directed
"Schwarzkopf, Gustav","Gisela Hajek",10,Directed
"Schwarzkopf, Gustav","Julius Schnitzler",10,Directed
"Schwarzkopf, Gustav","Emil Schwarzkopf",9,Directed
"Schwarzkopf, Gustav","Leo Ebermann",9,Directed
"Schwarzkopf, Gustav","Otto Brahm",9,Directed
"Schwarzkopf, Gustav","Marie Elsinger",7,Directed
"Schwarzkopf, Gustav","Carl Karlweis",6,Directed
"Schwarzkopf, Gustav","Marie Reinhard",6,Directed
"Schwarzkopf, Gustav","Karl Kraus",6,Directed
"Schwarzkopf, Gustav","Gertrude von Hofmannsthal",6,Directed
"Schwarzkopf, Gustav","Leo Van-Jung",5,Directed
"Schwarzkopf, Gustav","Hugo August von Hofmannsthal",5,Directed
"Schwarzkopf, Gustav","Hermann Bahr",5,Directed
"Schwarzkopf, Gustav","Samuel Fischer",5,Directed
"Schwarzkopf, Gustav","Robert Hirschfeld",5,Directed
"Schwarzkopf, Gustav","Helene Schnitzler",5,Directed
"Schwarzkopf, Gustav","Oskar Blumenthal",4,Directed
"Schwarzkopf, Gustav","Vincenz Chiavacci",4,Directed
