Source,Target,Weight,Type
"Bahr, Hermann","Olga Schnitzler",115,Directed
"Bahr, Hermann","Isidor Singer",40,Directed
"Bahr, Hermann","Heinrich Kanner",39,Directed
"Bahr, Hermann","Anna Bahr-Mildenburg",35,Directed
"Bahr, Hermann","Hugo von Hofmannsthal",27,Directed
"Bahr, Hermann","Heinrich Schnitzler",21,Directed
"Bahr, Hermann","Richard Beer-Hofmann",17,Directed
"Bahr, Hermann","Felix Salten",17,Directed
"Bahr, Hermann","Otto Brahm",17,Directed
"Bahr, Hermann","Max Eugen Burckhard",15,Directed
"Bahr, Hermann","Max Reinhardt",14,Directed
"Bahr, Hermann","Lisa Clarus",11,Directed
"Bahr, Hermann","Lili Cappellini",11,Directed
"Bahr, Hermann","Emerich von Bukovics",10,Directed
"Bahr, Hermann","Peter Altenberg",9,Directed
"Bahr, Hermann","Samuel Fischer",7,Directed
"Bahr, Hermann","Gertrude von Hofmannsthal",7,Directed
"Bahr, Hermann","Carl Karlweis",6,Directed
"Bahr, Hermann","Lucie Höflich",6,Directed
"Bahr, Hermann","Henrik Ibsen",5,Directed
"Bahr, Hermann","Siegfried Trebitsch",5,Directed
"Bahr, Hermann","Julius Schnitzler",5,Directed
"Bahr, Hermann","Stephan Epstein",5,Directed
"Bahr, Hermann","Alois Bahr",4,Directed
"Bahr, Hermann","Rosa Bahr",4,Directed
"Bahr, Hermann","Gilbert Otto Neumann-Hofer",4,Directed
"Bahr, Hermann","Alfred von Berger",4,Directed
"Bahr, Hermann","Albert von Speidel",4,Directed
"Bahr, Hermann","Helene Ritscher",4,Directed
"Bahr, Hermann","Emanuel Reicher",3,Directed
"Bahr, Hermann","Ferdinand von Saar",3,Directed
"Bahr, Hermann","Vincenz Chiavacci",3,Directed
"Bahr, Hermann","Adele Sandrock",3,Directed
"Bahr, Hermann","Gerhart Hauptmann",3,Directed
"Bahr, Hermann","Karl Kraus",3,Directed
"Bahr, Hermann","Eduard Pötzl",3,Directed
"Bahr, Hermann","Leopold von Andrian-Werburg",3,Directed
"Bahr, Hermann","Albert Bassermann",3,Directed
"Bahr, Hermann","Wilhelmine Bahr",3,Directed
"Bahr, Hermann","Gustav Mahler",3,Directed
"Bahr, Hermann","Richard Wagner",3,Directed
"Bahr, Hermann","Richard Vallentin",3,Directed
"Bahr, Hermann","Georg Engländer",3,Directed
"Bahr, Hermann","Maurice Maeterlinck",2,Directed
"Bahr, Hermann","Adalbert von Goldschmidt",2,Directed
"Bahr, Hermann","Ilka Pálmay",2,Directed
"Bahr, Hermann","Johann Schnitzler",2,Directed
"Bahr, Hermann","Johann Lukas Schönlein",2,Directed
"Bahr, Hermann","Gabriele D’Annunzio",2,Directed
"Bahr, Hermann","Karl Langkammer",2,Directed
"Bahr, Hermann","Georg Hirschfeld",2,Directed
"Bahr, Hermann","Julius Bauer",2,Directed
"Bahr, Hermann","Leo Ebermann",2,Directed
"Bahr, Hermann","Ernst Gettke",2,Directed
"Bahr, Hermann","Theodor Herzl",2,Directed
"Bahr, Hermann","Otto Erich Hartleben",2,Directed
"Bahr, Hermann","Friedrich Geiringer",2,Directed
"Bahr, Hermann","Gustav Davis",2,Directed
"Bahr, Hermann","Friedrich Mitterwurzer",2,Directed
"Bahr, Hermann","Paul Goldmann",2,Directed
"Bahr, Hermann","Albert Gutmann",2,Directed
"Bahr, Hermann","Maximilian Harden",2,Directed
"Bahr, Hermann","Oskar Sauer",2,Directed
"Bahr, Hermann","Paul Schlenther",2,Directed
"Bahr, Hermann","Gustav Modry",2,Directed
"Bahr, Hermann","Eleonora Duse",2,Directed
"Bahr, Hermann","Emil von Jettel-Ettenach",2,Directed
"Bahr, Hermann","Moritz Epstein",2,Directed
"Bahr, Hermann","Wilhelm Singer",2,Directed
"Bahr, Hermann","Johann Wolfgang von Goethe",2,Directed
"Bahr, Hermann","André Antoine",2,Directed
"Bahr, Hermann","Rudolf Rittner",2,Directed
"Bahr, Hermann","Paula Beer-Hofmann",2,Directed
"Bahr, Hermann","Francesco Petrarca",2,Directed
"Bahr, Hermann","Margarethe Kainz",2,Directed
"Bahr, Hermann","Hans Pagay",2,Directed
"Bahr, Hermann","Heinrich Kley",2,Directed
"Bahr, Hermann","Oskar Bacher",2,Directed
"Bahr, Hermann","Alfred Gerasch",2,Directed
"Bahr, Hermann","Karl Richter",2,Directed
"Bahr, Hermann","Hugo Heller",2,Directed
"Bahr, Hermann","Franz Peter Schubert",2,Directed
"Bahr, Hermann","Arthur Johannes Scholz",2,Directed
"Bahr, Hermann","Josef Popper-Lynkeus",2,Directed
"Bahr, Hermann","Ferry Bératon",1,Directed
"Bahr, Hermann","H.",1,Directed
"Bahr, Hermann","?? [Regimentsarzt]",1,Directed
"Bahr, Hermann","Gustav Schwarzkopf",1,Directed
"Bahr, Hermann","Theodor Taube",1,Directed
"Bahr, Hermann","Karl Rabis",1,Directed
"Bahr, Hermann","Emil Marriot",1,Directed
"Bahr, Hermann","Ada Christen",1,Directed
"Bahr, Hermann","Carl Pietzner",1,Directed
"Bahr, Hermann","Frieda Löwy",1,Directed
"Bahr, Hermann","Sándor Wolf",1,Directed
"Bahr, Hermann","Theodor Baumgarten",1,Directed
"Bahr, Hermann","Felix Philippi",1,Directed
"Bahr, Hermann","Heinrich Müller",1,Directed
"Bahr, Hermann","Hedwig Fischer",1,Directed
"Bahr, Hermann","Leopold Müller",1,Directed
