Source,Target,Weight,Type
"Blei, Franz","Fanny Johnson",3,Directed
"Blei, Franz","Alfred Bates",2,Directed
"Blei, Franz","William Butler Yeats",1,Directed
"Blei, Franz","Arthur Symons",1,Directed
"Blei, Franz","Marc Henry",1,Directed
"Blei, Franz","William Heinemann",1,Directed
"Blei, Franz","Olga Schnitzler",1,Directed
"Blei, Franz","Hans von Weber",1,Directed
"Blei, Franz","Georg Müller",1,Directed
"Blei, Franz","Hermann Bahr",1,Directed
"Blei, Franz","Leopold von Andrian-Werburg",1,Directed
"Blei, Franz","Charles-Louis Philippe",1,Directed
"Blei, Franz","Georg von Lukács",1,Directed
