Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Max Eugen Burckhard","11036","Wien","50","1647","Directed","Max Eugen Burckhard–Wien","21"
"Max Eugen Burckhard","11036","St. Gilgen","33","31","Directed","Max Eugen Burckhard–St. Gilgen","14"
"Max Eugen Burckhard","11036","Porzellangasse","436","15","Directed","Max Eugen Burckhard–Porzellangasse","10"
"Max Eugen Burckhard","11036","Burgtheater","14","55","Directed","Max Eugen Burckhard–Burgtheater","5"
"Max Eugen Burckhard","11036","Berlin","168","570","Directed","Max Eugen Burckhard–Berlin","5"
"Max Eugen Burckhard","11036","Leipzig","864","29","Directed","Max Eugen Burckhard–Leipzig","5"
"Max Eugen Burckhard","11036","Edmund-Weiß-Gasse 7","168940","318","Directed","Max Eugen Burckhard–Edmund-Weiß-Gasse 7","4"
"Max Eugen Burckhard","11036","Franzosenschanze","44453","2","Directed","Max Eugen Burckhard–Franzosenschanze","2"
"Max Eugen Burckhard","11036","Salzburg","30","194","Directed","Max Eugen Burckhard–Salzburg","1"
"Max Eugen Burckhard","11036","Lichtenfelsgasse","95","2","Directed","Max Eugen Burckhard–Lichtenfelsgasse","1"
"Max Eugen Burckhard","11036","Frankfurt am Main","146","135","Directed","Max Eugen Burckhard–Frankfurt am Main","1"
"Max Eugen Burckhard","11036","Sizilien","451","9","Directed","Max Eugen Burckhard–Sizilien","1"
"Max Eugen Burckhard","11036","Edlach","470","22","Directed","Max Eugen Burckhard–Edlach","1"
"Max Eugen Burckhard","11036","Reichenau an der Rax","483","23","Directed","Max Eugen Burckhard–Reichenau an der Rax","1"
"Max Eugen Burckhard","11036","Bled","590","3","Directed","Max Eugen Burckhard–Bled","1"
"Max Eugen Burckhard","11036","Breslau","677","18","Directed","Max Eugen Burckhard–Breslau","1"
"Max Eugen Burckhard","11036","Stuttgart","872","4","Directed","Max Eugen Burckhard–Stuttgart","1"
"Max Eugen Burckhard","11036","Südtirol","969","30","Directed","Max Eugen Burckhard–Südtirol","1"
"Max Eugen Burckhard","11036","Niederösterreich","1003","24","Directed","Max Eugen Burckhard–Niederösterreich","1"
"Max Eugen Burckhard","11036","Sprottau","1004","2","Directed","Max Eugen Burckhard–Sprottau","1"
"Max Eugen Burckhard","11036","Die Wochein","1205","2","Directed","Max Eugen Burckhard–Die Wochein","1"
"Max Eugen Burckhard","11036","Seiser Alm","1216","2","Directed","Max Eugen Burckhard–Seiser Alm","1"
"Max Eugen Burckhard","11036","Schloss Schönbrunn","21799","8","Directed","Max Eugen Burckhard–Schloss Schönbrunn","1"
"Max Eugen Burckhard","11036","Schlern","39874","2","Directed","Max Eugen Burckhard–Schlern","1"
"Max Eugen Burckhard","11036","Portofino","44269","1","Directed","Max Eugen Burckhard–Portofino","1"
"Max Eugen Burckhard","11036","Wocheiner See","44456","3","Directed","Max Eugen Burckhard–Wocheiner See","1"
"Max Eugen Burckhard","11036","Breitenberg","44459","1","Directed","Max Eugen Burckhard–Breitenberg","1"
"Max Eugen Burckhard","11036","München","45258","154","Directed","Max Eugen Burckhard–München","1"
"Max Eugen Burckhard","11036","Frankgasse 1","168934","225","Directed","Max Eugen Burckhard–Frankgasse 1","1"
