Source,Target,Type,Label,Weight
"Marie Herzfeld","Österreich","Directed","Marie Herzfeld–Österreich","3"
"Marie Herzfeld","Ölzeltgasse","Directed","Marie Herzfeld–Ölzeltgasse","3"
"Marie Herzfeld","Wien","Directed","Marie Herzfeld–Wien","2"
"Marie Herzfeld","Russland","Directed","Marie Herzfeld–Russland","2"
"Marie Herzfeld","Lichtenauergasse","Directed","Marie Herzfeld–Lichtenauergasse","2"
"Marie Herzfeld","Deutsches Theater Berlin","Directed","Marie Herzfeld–Deutsches Theater Berlin","1"
"Marie Herzfeld","Bösendorfer-Saal","Directed","Marie Herzfeld–Bösendorfer-Saal","1"
"Marie Herzfeld","Oper","Directed","Marie Herzfeld–Oper","1"
"Marie Herzfeld","III., Landstraße","Directed","Marie Herzfeld–III., Landstraße","1"
"Marie Herzfeld","Deutschland","Directed","Marie Herzfeld–Deutschland","1"
"Marie Herzfeld","Frankreich","Directed","Marie Herzfeld–Frankreich","1"
"Marie Herzfeld","Berlin","Directed","Marie Herzfeld–Berlin","1"
"Marie Herzfeld","Paris","Directed","Marie Herzfeld–Paris","1"
"Marie Herzfeld","Bad Ischl","Directed","Marie Herzfeld–Bad Ischl","1"
"Marie Herzfeld","Schellinggasse","Directed","Marie Herzfeld–Schellinggasse","1"
"Marie Herzfeld","Sankt Petersburg","Directed","Marie Herzfeld–Sankt Petersburg","1"
"Marie Herzfeld","Moskau","Directed","Marie Herzfeld–Moskau","1"
"Marie Herzfeld","Dänemark","Directed","Marie Herzfeld–Dänemark","1"
"Marie Herzfeld","Grundlsee (Gemeinde)","Directed","Marie Herzfeld–Grundlsee (Gemeinde)","1"
"Marie Herzfeld","Steeg","Directed","Marie Herzfeld–Steeg","1"
"Marie Herzfeld","Edmund-Weiß-Gasse 7","Directed","Marie Herzfeld–Edmund-Weiß-Gasse 7","1"
