Source,Target,Type,Label,Weight
"Eduard Michael Kafka","Wien","Directed","Eduard Michael Kafka–Wien","6"
"Eduard Michael Kafka","Berlin","Directed","Eduard Michael Kafka–Berlin","4"
"Eduard Michael Kafka","Prag","Directed","Eduard Michael Kafka–Prag","4"
"Eduard Michael Kafka","Brünn","Directed","Eduard Michael Kafka–Brünn","4"
"Eduard Michael Kafka","Marienstraße","Directed","Eduard Michael Kafka–Marienstraße","2"
"Eduard Michael Kafka","Hamburg","Directed","Eduard Michael Kafka–Hamburg","2"
"Eduard Michael Kafka","Wienerhof","Directed","Eduard Michael Kafka–Wienerhof","2"
"Eduard Michael Kafka","München","Directed","Eduard Michael Kafka–München","2"
"Eduard Michael Kafka","Ordination Dr. Arthur Schnitzler Giselastraße 11","Directed","Eduard Michael Kafka–Ordination Dr. Arthur Schnitzler Giselastraße 11","2"
"Eduard Michael Kafka","Bad Ischl","Directed","Eduard Michael Kafka–Bad Ischl","1"
"Eduard Michael Kafka","Hotel de France","Directed","Eduard Michael Kafka–Hotel de France","1"
"Eduard Michael Kafka","Grillparzerstraße","Directed","Eduard Michael Kafka–Grillparzerstraße","1"
"Eduard Michael Kafka","Breslau","Directed","Eduard Michael Kafka–Breslau","1"
"Eduard Michael Kafka","Hybešova","Directed","Eduard Michael Kafka–Hybešova","1"
"Eduard Michael Kafka","Buchfeldgasse","Directed","Eduard Michael Kafka–Buchfeldgasse","1"
"Eduard Michael Kafka","Mannheim","Directed","Eduard Michael Kafka–Mannheim","1"
"Eduard Michael Kafka","Liechtensteinstraße","Directed","Eduard Michael Kafka–Liechtensteinstraße","1"
"Eduard Michael Kafka","Szklarska Poręba","Directed","Eduard Michael Kafka–Szklarska Poręba","1"
"Eduard Michael Kafka","Maria-Theresienstraße","Directed","Eduard Michael Kafka–Maria-Theresienstraße","1"
"Eduard Michael Kafka","Franz-Josefs-Kai","Directed","Eduard Michael Kafka–Franz-Josefs-Kai","1"
"Eduard Michael Kafka","Nordkap","Directed","Eduard Michael Kafka–Nordkap","1"
"Eduard Michael Kafka","Österreich","Directed","Eduard Michael Kafka–Österreich","1"
"Eduard Michael Kafka","Výstaviště","Directed","Eduard Michael Kafka–Výstaviště","1"
"Eduard Michael Kafka","Kreiensen","Directed","Eduard Michael Kafka–Kreiensen","1"
"Eduard Michael Kafka","Bahnhof","Directed","Eduard Michael Kafka–Bahnhof","1"
"Eduard Michael Kafka","Pfälzer Hof","Directed","Eduard Michael Kafka–Pfälzer Hof","1"
"Eduard Michael Kafka","Grand Hotel Prag","Directed","Eduard Michael Kafka–Grand Hotel Prag","1"
"Eduard Michael Kafka","Kaliningrad","Directed","Eduard Michael Kafka–Kaliningrad","1"
"Eduard Michael Kafka","Residenztheater Berlin","Directed","Eduard Michael Kafka–Residenztheater Berlin","1"
"Eduard Michael Kafka","Auerbachs Keller","Directed","Eduard Michael Kafka–Auerbachs Keller","1"
