Source,Target,Type,Label,Weight
"Fedor Mamroth","Frankfurt am Main","Directed","Fedor Mamroth–Frankfurt am Main","7"
"Fedor Mamroth","Wien","Directed","Fedor Mamroth–Wien","2"
"Fedor Mamroth","Deutschland","Directed","Fedor Mamroth–Deutschland","2"
"Fedor Mamroth","Berlin","Directed","Fedor Mamroth–Berlin","2"
"Fedor Mamroth","Köthenerstraße","Directed","Fedor Mamroth–Köthenerstraße","1"
"Fedor Mamroth","Breslau","Directed","Fedor Mamroth–Breslau","1"
"Fedor Mamroth","Brüssel","Directed","Fedor Mamroth–Brüssel","1"
"Fedor Mamroth","Leipzig","Directed","Fedor Mamroth–Leipzig","1"
"Fedor Mamroth","Dresden","Directed","Fedor Mamroth–Dresden","1"
"Fedor Mamroth","Österreich","Directed","Fedor Mamroth–Österreich","1"
"Fedor Mamroth","Berggasse","Directed","Fedor Mamroth–Berggasse","1"
"Fedor Mamroth","Seidengasse","Directed","Fedor Mamroth–Seidengasse","1"
"Fedor Mamroth","Altonaer Straße","Directed","Fedor Mamroth–Altonaer Straße","1"
