Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Oskar Blumenthal","14328","Berlin","168","570","Directed","Oskar Blumenthal–Berlin","10"
"Oskar Blumenthal","14328","Kapelle-Ufer","34999","5","Directed","Oskar Blumenthal–Kapelle-Ufer","5"
"Oskar Blumenthal","14328","Wien","50","1647","Directed","Oskar Blumenthal–Wien","2"
"Oskar Blumenthal","14328","Lauffen","35658","2","Directed","Oskar Blumenthal–Lauffen","2"
"Oskar Blumenthal","14328","Hotel Sacher","29","9","Directed","Oskar Blumenthal–Hotel Sacher","1"
"Oskar Blumenthal","14328","I., Innere Stadt","51","25","Directed","Oskar Blumenthal–I., Innere Stadt","1"
"Oskar Blumenthal","14328","Theater des Westens","692","1","Directed","Oskar Blumenthal–Theater des Westens","1"
"Oskar Blumenthal","14328","Neues Theater","720","3","Directed","Oskar Blumenthal–Neues Theater","1"
"Oskar Blumenthal","14328","Schauspielhaus","784","4","Directed","Oskar Blumenthal–Schauspielhaus","1"
"Oskar Blumenthal","14328","Alexanderstraße","822","2","Directed","Oskar Blumenthal–Alexanderstraße","1"
"Oskar Blumenthal","14328","Moskau","869","5","Directed","Oskar Blumenthal–Moskau","1"
"Oskar Blumenthal","14328","Meiningen","35576","1","Directed","Oskar Blumenthal–Meiningen","1"
"Oskar Blumenthal","14328","Bundesallee","35654","1","Directed","Oskar Blumenthal–Bundesallee","1"
"Oskar Blumenthal","14328","New York City","44053","7","Directed","Oskar Blumenthal–New York City","1"
"Oskar Blumenthal","14328","München","45258","154","Directed","Oskar Blumenthal–München","1"
