Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Robert Adam","12438","Wien","50","1647","Directed","Robert Adam–Wien","56"
"Robert Adam","12438","Meidlinger Hauptstraße","1239","54","Directed","Robert Adam–Meidlinger Hauptstraße","54"
"Robert Adam","12438","Sternwartestraße 71","168815","259","Directed","Robert Adam–Sternwartestraße 71","52"
"Robert Adam","12438","XII., Meidling","62","50","Directed","Robert Adam–XII., Meidling","49"
"Robert Adam","12438","Zistersdorf","44400","17","Directed","Robert Adam–Zistersdorf","17"
"Robert Adam","12438","XVIII., Währing","68","210","Directed","Robert Adam–XVIII., Währing","13"
"Robert Adam","12438","Niederösterreich","1003","24","Directed","Robert Adam–Niederösterreich","8"
"Robert Adam","12438","Volkstheater","20","27","Directed","Robert Adam–Volkstheater","7"
"Robert Adam","12438","Österreich","41240","219","Directed","Robert Adam–Österreich","6"
"Robert Adam","12438","Burgtheater","14","55","Directed","Robert Adam–Burgtheater","5"
"Robert Adam","12438","VIII., Josefstadt","58","8","Directed","Robert Adam–VIII., Josefstadt","5"
"Robert Adam","12438","Gutenstein","1036","5","Directed","Robert Adam–Gutenstein","3"
"Robert Adam","12438","Andorf","1248","3","Directed","Robert Adam–Andorf","3"
"Robert Adam","12438","München","45258","154","Directed","Robert Adam–München","3"
"Robert Adam","12438","Salzburg","30","194","Directed","Robert Adam–Salzburg","2"
"Robert Adam","12438","XIII., Hietzing","63","35","Directed","Robert Adam–XIII., Hietzing","2"
"Robert Adam","12438","XXI., Floridsdorf","71","2","Directed","Robert Adam–XXI., Floridsdorf","2"
"Robert Adam","12438","Bayern","314","15","Directed","Robert Adam–Bayern","2"
"Robert Adam","12438","Bad Aussee","415","69","Directed","Robert Adam–Bad Aussee","2"
"Robert Adam","12438","Bad Gastein","521","11","Directed","Robert Adam–Bad Gastein","2"
"Robert Adam","12438","Kammerspiele Wien","633","2","Directed","Robert Adam–Kammerspiele Wien","2"
"Robert Adam","12438","Innviertel","718","2","Directed","Robert Adam–Innviertel","2"
"Robert Adam","12438","Karlsbad","842","21","Directed","Robert Adam–Karlsbad","2"
"Robert Adam","12438","Erholungsheim der Bundesbeamten","1263","2","Directed","Robert Adam–Erholungsheim der Bundesbeamten","2"
"Robert Adam","12438","Griechenland","44293","8","Directed","Robert Adam–Griechenland","2"
"Robert Adam","12438","Wels","44397","3","Directed","Robert Adam–Wels","2"
"Robert Adam","12438","Prater","8","5","Directed","Robert Adam–Prater","1"
"Robert Adam","12438","Steiermark","17","11","Directed","Robert Adam–Steiermark","1"
"Robert Adam","12438","I., Innere Stadt","51","25","Directed","Robert Adam–I., Innere Stadt","1"
"Robert Adam","12438","Sanatorium Loew","89","4","Directed","Robert Adam–Sanatorium Loew","1"
