Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Albert Ehrenstein","11230","Ottakringerstraße","300","20","Directed","Albert Ehrenstein–Ottakringerstraße","20"
"Albert Ehrenstein","11230","Wien","50","1647","Directed","Albert Ehrenstein–Wien","15"
"Albert Ehrenstein","11230","Edmund-Weiß-Gasse 7","168940","318","Directed","Albert Ehrenstein–Edmund-Weiß-Gasse 7","15"
"Albert Ehrenstein","11230","Sternwartestraße 71","168815","259","Directed","Albert Ehrenstein–Sternwartestraße 71","4"
"Albert Ehrenstein","11230","Berlin","168","570","Directed","Albert Ehrenstein–Berlin","3"
"Albert Ehrenstein","11230","Edlach","470","22","Directed","Albert Ehrenstein–Edlach","3"
"Albert Ehrenstein","11230","XIV., Penzing","64","3","Directed","Albert Ehrenstein–XIV., Penzing","2"
"Albert Ehrenstein","11230","XVI., Ottakring","66","2","Directed","Albert Ehrenstein–XVI., Ottakring","2"
"Albert Ehrenstein","11230","Venedig","462","68","Directed","Albert Ehrenstein–Venedig","2"
"Albert Ehrenstein","11230","Vrádište","34498","2","Directed","Albert Ehrenstein–Vrádište","2"
"Albert Ehrenstein","11230","Ungarn","35512","14","Directed","Albert Ehrenstein–Ungarn","2"
"Albert Ehrenstein","11230","Österreich","41240","219","Directed","Albert Ehrenstein–Österreich","2"
"Albert Ehrenstein","11230","Volkstheater","20","27","Directed","Albert Ehrenstein–Volkstheater","1"
"Albert Ehrenstein","11230","III., Landstraße","53","2","Directed","Albert Ehrenstein–III., Landstraße","1"
"Albert Ehrenstein","11230","VI., Mariahilf","56","4","Directed","Albert Ehrenstein–VI., Mariahilf","1"
"Albert Ehrenstein","11230","XVII., Hernals","67","2","Directed","Albert Ehrenstein–XVII., Hernals","1"
"Albert Ehrenstein","11230","XVIII., Währing","68","210","Directed","Albert Ehrenstein–XVIII., Währing","1"
"Albert Ehrenstein","11230","Türkenschanzpark","113","9","Directed","Albert Ehrenstein–Türkenschanzpark","1"
"Albert Ehrenstein","11230","Köln","145","10","Directed","Albert Ehrenstein–Köln","1"
"Albert Ehrenstein","11230","Deutschland","151","97","Directed","Albert Ehrenstein–Deutschland","1"
"Albert Ehrenstein","11230","Semmering","189","91","Directed","Albert Ehrenstein–Semmering","1"
"Albert Ehrenstein","11230","Polen","313","10","Directed","Albert Ehrenstein–Polen","1"
"Albert Ehrenstein","11230","Universität Wien","386","3","Directed","Albert Ehrenstein–Universität Wien","1"
"Albert Ehrenstein","11230","Südbahnhotel","413","16","Directed","Albert Ehrenstein–Südbahnhotel","1"
"Albert Ehrenstein","11230","Galizien","644","4","Directed","Albert Ehrenstein–Galizien","1"
"Albert Ehrenstein","11230","Hotel Edlacherhof","714","7","Directed","Albert Ehrenstein–Hotel Edlacherhof","1"
"Albert Ehrenstein","11230","Brünn","833","17","Directed","Albert Ehrenstein–Brünn","1"
"Albert Ehrenstein","11230","Südtirol","969","30","Directed","Albert Ehrenstein–Südtirol","1"
"Albert Ehrenstein","11230","Neulinggasse","1212","1","Directed","Albert Ehrenstein–Neulinggasse","1"
"Albert Ehrenstein","11230","Slowakei","34478","2","Directed","Albert Ehrenstein–Slowakei","1"
"Albert Ehrenstein","11230","Oberdöbling","34550","1","Directed","Albert Ehrenstein–Oberdöbling","1"
"Albert Ehrenstein","11230","Sanatorium Obersteiner","34552","1","Directed","Albert Ehrenstein–Sanatorium Obersteiner","1"
"Albert Ehrenstein","11230","Meran","43520","22","Directed","Albert Ehrenstein–Meran","1"
"Albert Ehrenstein","11230","Mixnitz","44146","1","Directed","Albert Ehrenstein–Mixnitz","1"
