Source,Target,Type,Label,Weight
"Robert Adam","Wien","Directed","Robert Adam–Wien","56"
"Robert Adam","Meidlinger Hauptstraße","Directed","Robert Adam–Meidlinger Hauptstraße","54"
"Robert Adam","Sternwartestraße 71","Directed","Robert Adam–Sternwartestraße 71","52"
"Robert Adam","XII., Meidling","Directed","Robert Adam–XII., Meidling","49"
"Robert Adam","Zistersdorf","Directed","Robert Adam–Zistersdorf","17"
"Robert Adam","XVIII., Währing","Directed","Robert Adam–XVIII., Währing","13"
"Robert Adam","Niederösterreich","Directed","Robert Adam–Niederösterreich","8"
"Robert Adam","Volkstheater","Directed","Robert Adam–Volkstheater","7"
"Robert Adam","Österreich","Directed","Robert Adam–Österreich","6"
"Robert Adam","Burgtheater","Directed","Robert Adam–Burgtheater","5"
"Robert Adam","VIII., Josefstadt","Directed","Robert Adam–VIII., Josefstadt","5"
"Robert Adam","Gutenstein","Directed","Robert Adam–Gutenstein","3"
"Robert Adam","Andorf","Directed","Robert Adam–Andorf","3"
"Robert Adam","München","Directed","Robert Adam–München","3"
"Robert Adam","Salzburg","Directed","Robert Adam–Salzburg","2"
"Robert Adam","XIII., Hietzing","Directed","Robert Adam–XIII., Hietzing","2"
"Robert Adam","XXI., Floridsdorf","Directed","Robert Adam–XXI., Floridsdorf","2"
"Robert Adam","Bayern","Directed","Robert Adam–Bayern","2"
"Robert Adam","Bad Aussee","Directed","Robert Adam–Bad Aussee","2"
"Robert Adam","Bad Gastein","Directed","Robert Adam–Bad Gastein","2"
"Robert Adam","Kammerspiele Wien","Directed","Robert Adam–Kammerspiele Wien","2"
"Robert Adam","Innviertel","Directed","Robert Adam–Innviertel","2"
"Robert Adam","Karlsbad","Directed","Robert Adam–Karlsbad","2"
"Robert Adam","Erholungsheim der Bundesbeamten","Directed","Robert Adam–Erholungsheim der Bundesbeamten","2"
"Robert Adam","Griechenland","Directed","Robert Adam–Griechenland","2"
"Robert Adam","Wels","Directed","Robert Adam–Wels","2"
"Robert Adam","Prater","Directed","Robert Adam–Prater","1"
"Robert Adam","Steiermark","Directed","Robert Adam–Steiermark","1"
"Robert Adam","I., Innere Stadt","Directed","Robert Adam–I., Innere Stadt","1"
"Robert Adam","Sanatorium Loew","Directed","Robert Adam–Sanatorium Loew","1"
