Source,Target,Type,Label,Weight
"Gerhart Hauptmann","Wien","Directed","Gerhart Hauptmann–Wien","11"
"Gerhart Hauptmann","Jagniątków","Directed","Gerhart Hauptmann–Jagniątków","10"
"Gerhart Hauptmann","Berlin","Directed","Gerhart Hauptmann–Berlin","4"
"Gerhart Hauptmann","Edmund-Weiß-Gasse 7","Directed","Gerhart Hauptmann–Edmund-Weiß-Gasse 7","3"
"Gerhart Hauptmann","Deutschland","Directed","Gerhart Hauptmann–Deutschland","2"
"Gerhart Hauptmann","Semmering","Directed","Gerhart Hauptmann–Semmering","2"
"Gerhart Hauptmann","Schlesien","Directed","Gerhart Hauptmann–Schlesien","2"
"Gerhart Hauptmann","Österreich","Directed","Gerhart Hauptmann–Österreich","2"
"Gerhart Hauptmann","Frankgasse 1","Directed","Gerhart Hauptmann–Frankgasse 1","2"
"Gerhart Hauptmann","Lessing-Theater","Directed","Gerhart Hauptmann–Lessing-Theater","1"
"Gerhart Hauptmann","Hotel Sacher","Directed","Gerhart Hauptmann–Hotel Sacher","1"
"Gerhart Hauptmann","Salzburg","Directed","Gerhart Hauptmann–Salzburg","1"
"Gerhart Hauptmann","IX., Alsergrund","Directed","Gerhart Hauptmann–IX., Alsergrund","1"
"Gerhart Hauptmann","Bad Ischl","Directed","Gerhart Hauptmann–Bad Ischl","1"
"Gerhart Hauptmann","Hotel de Rome","Directed","Gerhart Hauptmann–Hotel de Rome","1"
"Gerhart Hauptmann","Unter den Linden","Directed","Gerhart Hauptmann–Unter den Linden","1"
"Gerhart Hauptmann","Hotel und Pension Rudolfshöhe (Leopold Petter)","Directed","Gerhart Hauptmann–Hotel und Pension Rudolfshöhe (Leopold Petter)","1"
"Gerhart Hauptmann","Hotel und Pension Lueg","Directed","Gerhart Hauptmann–Hotel und Pension Lueg","1"
"Gerhart Hauptmann","Haus Wiesenstein","Directed","Gerhart Hauptmann–Haus Wiesenstein","1"
"Gerhart Hauptmann","Bahn- und Dampfschiffstation","Directed","Gerhart Hauptmann–Bahn- und Dampfschiffstation","1"
"Gerhart Hauptmann","Szklarska Poręba","Directed","Gerhart Hauptmann–Szklarska Poręba","1"
"Gerhart Hauptmann","Snĕžne jámy","Directed","Gerhart Hauptmann–Snĕžne jámy","1"
"Gerhart Hauptmann","Sternwartestraße 71","Directed","Gerhart Hauptmann–Sternwartestraße 71","1"
