Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Richard Dehmel","11148","Wien","50","1647","Directed","Richard Dehmel–Wien","6"
"Richard Dehmel","11148","Blankenese","1226","5","Directed","Richard Dehmel–Blankenese","5"
"Richard Dehmel","11148","Berlin","168","570","Directed","Richard Dehmel–Berlin","4"
"Richard Dehmel","11148","Frankgasse 1","168934","225","Directed","Richard Dehmel–Frankgasse 1","2"
"Richard Dehmel","11148","Edmund-Weiß-Gasse 7","168940","318","Directed","Richard Dehmel–Edmund-Weiß-Gasse 7","2"
"Richard Dehmel","11148","Café Griensteidl","34","40","Directed","Richard Dehmel–Café Griensteidl","1"
"Richard Dehmel","11148","Köln","145","10","Directed","Richard Dehmel–Köln","1"
"Richard Dehmel","11148","Deutschland","151","97","Directed","Richard Dehmel–Deutschland","1"
"Richard Dehmel","11148","Hotel Bristol Wien","205","2","Directed","Richard Dehmel–Hotel Bristol Wien","1"
"Richard Dehmel","11148","Café Central","262","16","Directed","Richard Dehmel–Café Central","1"
"Richard Dehmel","11148","Mahlerstraße","1178","8","Directed","Richard Dehmel–Mahlerstraße","1"
"Richard Dehmel","11148","Berlin-Pankow","17871","1","Directed","Richard Dehmel–Berlin-Pankow","1"
"Richard Dehmel","11148","Schweiz","43435","53","Directed","Richard Dehmel–Schweiz","1"
"Richard Dehmel","11148","Parkstraße","43459","1","Directed","Richard Dehmel–Parkstraße","1"
"Richard Dehmel","11148","Braunwald","44880","1","Directed","Richard Dehmel–Braunwald","1"
"Richard Dehmel","11148","Brijuni","45260","15","Directed","Richard Dehmel–Brijuni","1"
"Richard Dehmel","11148","Fritz-Seger-Straße","50143","1","Directed","Richard Dehmel–Fritz-Seger-Straße","1"
