Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Österreich","41240","219","Directed","Marie Herzfeld–Österreich","3"
"Marie Herzfeld","11666","Ölzeltgasse","65336","3","Directed","Marie Herzfeld–Ölzeltgasse","3"
"Marie Herzfeld","11666","Wien","50","1647","Directed","Marie Herzfeld–Wien","2"
"Marie Herzfeld","11666","Russland","34438","27","Directed","Marie Herzfeld–Russland","2"
"Marie Herzfeld","11666","Lichtenauergasse","65358","2","Directed","Marie Herzfeld–Lichtenauergasse","2"
"Marie Herzfeld","11666","Deutsches Theater Berlin","3","22","Directed","Marie Herzfeld–Deutsches Theater Berlin","1"
"Marie Herzfeld","11666","Bösendorfer-Saal","4","2","Directed","Marie Herzfeld–Bösendorfer-Saal","1"
"Marie Herzfeld","11666","Oper","15","7","Directed","Marie Herzfeld–Oper","1"
"Marie Herzfeld","11666","III., Landstraße","53","2","Directed","Marie Herzfeld–III., Landstraße","1"
"Marie Herzfeld","11666","Deutschland","151","97","Directed","Marie Herzfeld–Deutschland","1"
"Marie Herzfeld","11666","Frankreich","166","63","Directed","Marie Herzfeld–Frankreich","1"
"Marie Herzfeld","11666","Berlin","168","570","Directed","Marie Herzfeld–Berlin","1"
"Marie Herzfeld","11666","Paris","182","232","Directed","Marie Herzfeld–Paris","1"
"Marie Herzfeld","11666","Bad Ischl","213","211","Directed","Marie Herzfeld–Bad Ischl","1"
"Marie Herzfeld","11666","Schellinggasse","341","1","Directed","Marie Herzfeld–Schellinggasse","1"
"Marie Herzfeld","11666","Sankt Petersburg","433","5","Directed","Marie Herzfeld–Sankt Petersburg","1"
"Marie Herzfeld","11666","Moskau","869","5","Directed","Marie Herzfeld–Moskau","1"
"Marie Herzfeld","11666","Dänemark","43570","71","Directed","Marie Herzfeld–Dänemark","1"
"Marie Herzfeld","11666","Grundlsee (Gemeinde)","46000","4","Directed","Marie Herzfeld–Grundlsee (Gemeinde)","1"
"Marie Herzfeld","11666","Steeg","65485","1","Directed","Marie Herzfeld–Steeg","1"
"Marie Herzfeld","11666","Edmund-Weiß-Gasse 7","168940","318","Directed","Marie Herzfeld–Edmund-Weiß-Gasse 7","1"
