Source,Target,Type,Label,Weight
"Georg Brandes","Wien","Directed","Georg Brandes–Wien","73"
"Georg Brandes","Kopenhagen","Directed","Georg Brandes–Kopenhagen","60"
"Georg Brandes","Dänemark","Directed","Georg Brandes–Dänemark","34"
"Georg Brandes","Sternwartestraße 71","Directed","Georg Brandes–Sternwartestraße 71","32"
"Georg Brandes","Österreich","Directed","Georg Brandes–Österreich","19"
"Georg Brandes","Berlin","Directed","Georg Brandes–Berlin","18"
"Georg Brandes","XVIII., Währing","Directed","Georg Brandes–XVIII., Währing","16"
"Georg Brandes","Deutschland","Directed","Georg Brandes–Deutschland","14"
"Georg Brandes","Frankreich","Directed","Georg Brandes–Frankreich","10"
"Georg Brandes","Paris","Directed","Georg Brandes–Paris","10"
"Georg Brandes","Russland","Directed","Georg Brandes–Russland","9"
"Georg Brandes","Amerika","Directed","Georg Brandes–Amerika","8"
"Georg Brandes","Italien","Directed","Georg Brandes–Italien","8"
"Georg Brandes","Frankgasse 1","Directed","Georg Brandes–Frankgasse 1","8"
"Georg Brandes","Burgtheater","Directed","Georg Brandes–Burgtheater","6"
"Georg Brandes","Salzburg","Directed","Georg Brandes–Salzburg","6"
"Georg Brandes","Skandinavien","Directed","Georg Brandes–Skandinavien","6"
"Georg Brandes","Karlsbad","Directed","Georg Brandes–Karlsbad","6"
"Georg Brandes","Marienlyst","Directed","Georg Brandes–Marienlyst","6"
"Georg Brandes","Opatija","Directed","Georg Brandes–Opatija","6"
"Georg Brandes","Schweden","Directed","Georg Brandes–Schweden","6"
"Georg Brandes","Polen","Directed","Georg Brandes–Polen","5"
"Georg Brandes","Rom","Directed","Georg Brandes–Rom","5"
"Georg Brandes","Havnegade","Directed","Georg Brandes–Havnegade","5"
"Georg Brandes","Schweiz","Directed","Georg Brandes–Schweiz","5"
"Georg Brandes","IX., Alsergrund","Directed","Georg Brandes–IX., Alsergrund","4"
"Georg Brandes","Preußen","Directed","Georg Brandes–Preußen","4"
"Georg Brandes","England","Directed","Georg Brandes–England","4"
"Georg Brandes","Europa","Directed","Georg Brandes–Europa","4"
"Georg Brandes","Edmund-Weiß-Gasse 7","Directed","Georg Brandes–Edmund-Weiß-Gasse 7","4"
