Source,CorrID,Target,PlaceID,Overallcount,Type,Label,Weight
"Gerhart Hauptmann","11617","Wien","50","1647","Directed","Gerhart Hauptmann–Wien","11"
"Gerhart Hauptmann","11617","Jagniątków","735","13","Directed","Gerhart Hauptmann–Jagniątków","10"
"Gerhart Hauptmann","11617","Berlin","168","570","Directed","Gerhart Hauptmann–Berlin","4"
"Gerhart Hauptmann","11617","Edmund-Weiß-Gasse 7","168940","318","Directed","Gerhart Hauptmann–Edmund-Weiß-Gasse 7","3"
"Gerhart Hauptmann","11617","Deutschland","151","97","Directed","Gerhart Hauptmann–Deutschland","2"
"Gerhart Hauptmann","11617","Semmering","189","91","Directed","Gerhart Hauptmann–Semmering","2"
"Gerhart Hauptmann","11617","Schlesien","1122","5","Directed","Gerhart Hauptmann–Schlesien","2"
"Gerhart Hauptmann","11617","Österreich","41240","219","Directed","Gerhart Hauptmann–Österreich","2"
"Gerhart Hauptmann","11617","Frankgasse 1","168934","225","Directed","Gerhart Hauptmann–Frankgasse 1","2"
"Gerhart Hauptmann","11617","Lessing-Theater","18","5","Directed","Gerhart Hauptmann–Lessing-Theater","1"
"Gerhart Hauptmann","11617","Hotel Sacher","29","9","Directed","Gerhart Hauptmann–Hotel Sacher","1"
"Gerhart Hauptmann","11617","Salzburg","30","194","Directed","Gerhart Hauptmann–Salzburg","1"
"Gerhart Hauptmann","11617","IX., Alsergrund","59","36","Directed","Gerhart Hauptmann–IX., Alsergrund","1"
"Gerhart Hauptmann","11617","Bad Ischl","213","211","Directed","Gerhart Hauptmann–Bad Ischl","1"
"Gerhart Hauptmann","11617","Hotel de Rome","215","4","Directed","Gerhart Hauptmann–Hotel de Rome","1"
"Gerhart Hauptmann","11617","Unter den Linden","216","5","Directed","Gerhart Hauptmann–Unter den Linden","1"
"Gerhart Hauptmann","11617","Hotel und Pension Rudolfshöhe (Leopold Petter)","414","44","Directed","Gerhart Hauptmann–Hotel und Pension Rudolfshöhe (Leopold Petter)","1"
"Gerhart Hauptmann","11617","Hotel und Pension Lueg","824","5","Directed","Gerhart Hauptmann–Hotel und Pension Lueg","1"
"Gerhart Hauptmann","11617","Haus Wiesenstein","1052","2","Directed","Gerhart Hauptmann–Haus Wiesenstein","1"
"Gerhart Hauptmann","11617","Bahn- und Dampfschiffstation","1150","1","Directed","Gerhart Hauptmann–Bahn- und Dampfschiffstation","1"
"Gerhart Hauptmann","11617","Szklarska Poręba","34528","2","Directed","Gerhart Hauptmann–Szklarska Poręba","1"
"Gerhart Hauptmann","11617","Snĕžne jámy","118745","1","Directed","Gerhart Hauptmann–Snĕžne jámy","1"
"Gerhart Hauptmann","11617","Sternwartestraße 71","168815","259","Directed","Gerhart Hauptmann–Sternwartestraße 71","1"
