Source,Target,Weight,Type
"Schwarzkopf, Gustav","Tagebuch",2,Directed
"Schwarzkopf, Gustav","Der Graf von Charolais. Ein Trauerspiel",1,Directed
"Schwarzkopf, Gustav","Der Ruf des Lebens. Schauspiel in drei Akten",1,Directed
"Schwarzkopf, Gustav","Orpheus in der Unterwelt",1,Directed
"Schwarzkopf, Gustav","Das Märchen. Schauspiel in drei Aufzügen",1,Directed
"Schwarzkopf, Gustav","Der Teufel. Ein Spiel in drei Aufzügen",1,Directed
"Schwarzkopf, Gustav","König Richard der Dritte. In fünf Aufzügen",1,Directed
"Schwarzkopf, Gustav","Die Förster-Christl",1,Directed
