Source,Target,Weight,Type
"Schwarzkopf, Gustav","Tagebuch",6,Directed
"Schwarzkopf, Gustav","Die Quellen des Nil",2,Directed
"Schwarzkopf, Gustav","Der einsame Weg. Schauspiel in fünf Akten",2,Directed
"Schwarzkopf, Gustav","Neue Freie Presse",2,Directed
"Schwarzkopf, Gustav","Irene van Bien",2,Directed
"Schwarzkopf, Gustav","Lebendige Stunden. Vier Einakter",2,Directed
"Schwarzkopf, Gustav","Zwischenspiel. Komödie in drei Akten",2,Directed
"Schwarzkopf, Gustav","Der Ruf des Lebens. Schauspiel in drei Akten",2,Directed
"Schwarzkopf, Gustav","Das Vermächtnis. Schauspiel in drei Akten",1,Directed
"Schwarzkopf, Gustav","Der Schleier der Beatrice. Schauspiel in fünf Akten",1,Directed
"Schwarzkopf, Gustav","Der Weg ins Freie. Roman",1,Directed
"Schwarzkopf, Gustav","Frau Bertha Garlan. Roman",1,Directed
"Schwarzkopf, Gustav","Hilperich",1,Directed
"Schwarzkopf, Gustav","Professor Bernhardi. Komödie in fünf Akten",1,Directed
"Schwarzkopf, Gustav","Kikeriki",1,Directed
"Schwarzkopf, Gustav","Reichswehr",1,Directed
"Schwarzkopf, Gustav","Das Unrecht an Aaron Schnitzler",1,Directed
"Schwarzkopf, Gustav","(Wieder ein Märtyrer.)",1,Directed
"Schwarzkopf, Gustav","Die Fackel",1,Directed
"Schwarzkopf, Gustav","»Lieutenant Gustl«",1,Directed
"Schwarzkopf, Gustav","Wien, 20. Juni",1,Directed
"Schwarzkopf, Gustav","Lieutenant Gustl. Novelle",1,Directed
"Schwarzkopf, Gustav","?? [Ölgemälde mit zwei hochrangigen Personen]",1,Directed
"Schwarzkopf, Gustav","Der reine Tor. Gesellschaftsstück in vier Akten",1,Directed
"Schwarzkopf, Gustav","Prager Tagblatt",1,Directed
"Schwarzkopf, Gustav","Hoffmanns Erzählungen",1,Directed
"Schwarzkopf, Gustav","Arthur Schnitzler",1,Directed
"Schwarzkopf, Gustav","Der Graf von Charolais. Ein Trauerspiel",1,Directed
"Schwarzkopf, Gustav","A Midsommer nights dreame",1,Directed
"Schwarzkopf, Gustav","Die Juden. Schauspiel in drei Aufzügen",1,Directed
