Source,Target,Weight,Type
"Burckhard, Max Eugen","",6,Directed
"Burckhard, Max Eugen","",6,Directed
"Burckhard, Max Eugen","Börsenblatt für den Deutschen Buchhandel",5,Directed
"Burckhard, Max Eugen","",4,Directed
"Burckhard, Max Eugen","",4,Directed
"Burckhard, Max Eugen","",3,Directed
"Burckhard, Max Eugen","",2,Directed
"Burckhard, Max Eugen","",2,Directed
"Burckhard, Max Eugen","",2,Directed
"Burckhard, Max Eugen","Freiwild. Schauspiel in 3 Akten",2,Directed
"Burckhard, Max Eugen","’s Katherl. Volksstück in fünf Aufzügen",2,Directed
"Burckhard, Max Eugen","Die Bürgermeisterwahl. Ländliche Comödie in vier Acten",2,Directed
"Burckhard, Max Eugen","Charakterbilder aus Oberösterreich",2,Directed
"Burckhard, Max Eugen","Jene Asra,… Komödie in 4 Akten",2,Directed
"Burckhard, Max Eugen","",1,Directed
"Burckhard, Max Eugen","Rechte der Seele. Schauspiel in einem Act",1,Directed
"Burckhard, Max Eugen","Brignol et sa fille",1,Directed
"Burckhard, Max Eugen","Innocent",1,Directed
"Burckhard, Max Eugen","Simon Thums. Einige Tage aus seinem Leben",1,Directed
"Burckhard, Max Eugen","Das Vermächtnis. Schauspiel in drei Akten",1,Directed
"Burckhard, Max Eugen","Weihnachts-Einkäufe",1,Directed
"Burckhard, Max Eugen","Der Schleier der Beatrice. Schauspiel in fünf Akten",1,Directed
"Burckhard, Max Eugen","Rat Schrimpf. Komödie in fünf Akten",1,Directed
"Burckhard, Max Eugen","Quer durch Juristerei und Leben. Vorträge und Aufsätze",1,Directed
"Burckhard, Max Eugen","Franz Stelzhamer und die oberösterreichische Dialektdichtung",1,Directed
"Burckhard, Max Eugen","Zwischenspiel. Komödie in drei Akten",1,Directed
"Burckhard, Max Eugen","Im Paradiese. Komödie in 4 Akten",1,Directed
"Burckhard, Max Eugen","Quer durch das Leben. Fünfzig Aufsätze",1,Directed
"Burckhard, Max Eugen","Das Theater",1,Directed
"Burckhard, Max Eugen","Die neue Rundschau",1,Directed
