Source,Target,Weight,Type
"Rilke, Rainer Maria","Frühling. Moderne Flugblätter. 4. Heft",2,Directed
"Rilke, Rainer Maria","Zwei Prager Geschichten",1,Directed
"Rilke, Rainer Maria","Am Leben hin. Novellen und Skizzen",1,Directed
"Rilke, Rainer Maria","Mir zur Feier",1,Directed
"Rilke, Rainer Maria","Der Schleier der Beatrice. Schauspiel in fünf Akten",1,Directed
"Rilke, Rainer Maria","Liebelei. Schauspiel in drei Akten",1,Directed
"Rilke, Rainer Maria","Lieutenant Gustl. Novelle",1,Directed
"Rilke, Rainer Maria","Avalun. [3. Heft: Rainer Maria Rilke]",1,Directed
"Rilke, Rainer Maria","Im Gespräch",1,Directed
"Rilke, Rainer Maria","Der Liebende",1,Directed
"Rilke, Rainer Maria","Die Letzten [Erzählung]",1,Directed
"Rilke, Rainer Maria","Lebendige Stunden",1,Directed
"Rilke, Rainer Maria","Die Letzten",1,Directed
"Rilke, Rainer Maria","Das tägliche Leben. Drama in zwei Akten",1,Directed
