Source,Target,Weight,Type
"Altenberg, Peter","Wie ich es sehe",3,Directed
"Altenberg, Peter","See-Ufer",1,Directed
"Altenberg, Peter","Briefe von und über Peter Altenberg",1,Directed
"Altenberg, Peter","Neues Wiener Journal",1,Directed
"Altenberg, Peter","En route",1,Directed
"Altenberg, Peter","Liebelei. Schauspiel in drei Akten",1,Directed
"Altenberg, Peter","Die Fackel",1,Directed
"Altenberg, Peter","Ashantee",1,Directed
"Altenberg, Peter","Wiener Erinnerungen",1,Directed
"Altenberg, Peter","Sämmtliche Werke",1,Directed
"Altenberg, Peter","Der Giaur",1,Directed
"Altenberg, Peter","Neue Freie Presse",1,Directed
"Altenberg, Peter","Das Vermächtnis. Schauspiel in drei Akten",1,Directed
"Altenberg, Peter","Masken und Wunder. Novellen",1,Directed
"Altenberg, Peter","Der Tod des Junggesellen. Novelle",1,Directed
"Altenberg, Peter","Tagebuch",1,Directed
"Altenberg, Peter","»Semmering 1912«",1,Directed
"Altenberg, Peter","Der Weg ins Freie. Roman",1,Directed
"Altenberg, Peter","Sanatorium für Nervenkranke (aber nicht die, in denen ich mich befand!)",1,Directed
"Altenberg, Peter","Simplicissimus",1,Directed
"Altenberg, Peter","Vita ipsa",1,Directed
"Altenberg, Peter","Märchen des Lebens",1,Directed
