Source,Target,Type,Label,Weight
"Max Mell","Arthur Schnitzler","Directed","Max Mell an Arthur Schnitzler","8"
"Arthur Schnitzler","Julius Rodenberg","Directed","Arthur Schnitzler an Julius Rodenberg","2"
"Julius Rodenberg","Arthur Schnitzler","Directed","Julius Rodenberg an Arthur Schnitzler","3"
"Arthur Schnitzler","Frank Wedekind","Directed","Arthur Schnitzler an Frank Wedekind","1"
"Frank Wedekind","Arthur Schnitzler","Directed","Frank Wedekind an Arthur Schnitzler","2"
"Arthur Schnitzler","Joseph Victor Widmann","Directed","Arthur Schnitzler an Joseph Victor Widmann","2"
"Joseph Victor Widmann","Arthur Schnitzler","Directed","Joseph Victor Widmann an Arthur Schnitzler","5"
"Arthur Schnitzler","Bertha Suttner","Directed","Arthur Schnitzler an Bertha Suttner","5"
"Bertha Suttner","Arthur Schnitzler","Directed","Bertha Suttner an Arthur Schnitzler","8"
"Arthur Schnitzler","Paul Goldmann","Directed","Arthur Schnitzler an Paul Goldmann","10"
"Paul Goldmann","Arthur Schnitzler","Directed","Paul Goldmann an Arthur Schnitzler","541"
"Alfred Polgar","Arthur Schnitzler","Directed","Alfred Polgar an Arthur Schnitzler","1"
"Emil Ludwig","Arthur Schnitzler","Directed","Emil Ludwig an Arthur Schnitzler","1"
"Else Lasker-Schüler","Arthur Schnitzler","Directed","Else Lasker-Schüler an Arthur Schnitzler","1"
"Arthur Schnitzler","Felix Salten","Directed","Arthur Schnitzler an Felix Salten","112"
"Felix Salten","Arthur Schnitzler","Directed","Felix Salten an Arthur Schnitzler","336"
