Source,Target,ID,Type,Label,Weight
"Arthur Schnitzler","Thomas Mann","12176","Directed","Arthur Schnitzler an Thomas Mann","8"
"Thomas Mann","Arthur Schnitzler","12176","Directed","Thomas Mann an Arthur Schnitzler","20"
"Laura Marholm","Arthur Schnitzler","12183","Directed","Laura Marholm an Arthur Schnitzler","3"
"Arthur Schnitzler","Max Mell","12225","Directed","Arthur Schnitzler an Max Mell","3"
"Max Mell","Arthur Schnitzler","12225","Directed","Max Mell an Arthur Schnitzler","8"
"Arthur Schnitzler","Julius Rodenberg","9550","Directed","Arthur Schnitzler an Julius Rodenberg","2"
"Julius Rodenberg","Arthur Schnitzler","9550","Directed","Julius Rodenberg an Arthur Schnitzler","3"
"Arthur Schnitzler","Frank Wedekind","13068","Directed","Arthur Schnitzler an Frank Wedekind","1"
"Frank Wedekind","Arthur Schnitzler","13068","Directed","Frank Wedekind an Arthur Schnitzler","2"
"Arthur Schnitzler","Joseph Victor Widmann","3557","Directed","Arthur Schnitzler an Joseph Victor Widmann","2"
"Joseph Victor Widmann","Arthur Schnitzler","3557","Directed","Joseph Victor Widmann an Arthur Schnitzler","5"
"Arthur Schnitzler","Bertha Suttner","12906","Directed","Arthur Schnitzler an Bertha Suttner","5"
"Bertha Suttner","Arthur Schnitzler","12906","Directed","Bertha Suttner an Arthur Schnitzler","8"
"Arthur Schnitzler","Paul Goldmann","11485","Directed","Arthur Schnitzler an Paul Goldmann","10"
"Paul Goldmann","Arthur Schnitzler","11485","Directed","Paul Goldmann an Arthur Schnitzler","541"
"Alfred Polgar","Arthur Schnitzler","2989","Directed","Alfred Polgar an Arthur Schnitzler","1"
"Emil Ludwig","Arthur Schnitzler","12126","Directed","Emil Ludwig an Arthur Schnitzler","1"
"Else Lasker-Schüler","Arthur Schnitzler","38973","Directed","Else Lasker-Schüler an Arthur Schnitzler","1"
"Arthur Schnitzler","Felix Salten","2167","Directed","Arthur Schnitzler an Felix Salten","112"
"Felix Salten","Arthur Schnitzler","2167","Directed","Felix Salten an Arthur Schnitzler","336"
