Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Therese Rie-Andro","4836","Palestrina. Musikalische Legende in drei Akten","31681","4","Directed","Therese Rie-Andro–Palestrina. Musikalische Legende in drei Akten","3"
"Therese Rie-Andro","4836","Frau Beate und ihr Sohn. Novelle","32133","5","Directed","Therese Rie-Andro–Frau Beate und ihr Sohn. Novelle","1"
"Therese Rie-Andro","4836","Morgenröte. Gedanken über die moralischen Vorurteile","55898","1","Directed","Therese Rie-Andro–Morgenröte. Gedanken über die moralischen Vorurteile","1"
"Therese Rie-Andro","4836","An den Mond","56049","1","Directed","Therese Rie-Andro–An den Mond","1"
"Therese Rie-Andro","4836","Tante Simona. Komische Oper in einem Akt","56066","1","Directed","Therese Rie-Andro–Tante Simona. Komische Oper in einem Akt","1"
"Therese Rie-Andro","4836","Bühnentradition","56077","1","Directed","Therese Rie-Andro–Bühnentradition","1"
"Therese Rie-Andro","4836","Die Komödiantin Dora X. Roman","56089","1","Directed","Therese Rie-Andro–Die Komödiantin Dora X. Roman","1"
"Therese Rie-Andro","4836","Die Augen des Hieronymus","56106","1","Directed","Therese Rie-Andro–Die Augen des Hieronymus","1"
"Therese Rie-Andro","4836","Musikalische Reise ins Land der Vergangenheit","56170","2","Directed","Therese Rie-Andro–Musikalische Reise ins Land der Vergangenheit","2"
"Therese Rie-Andro","4836","h-Moll-Messe","56180","1","Directed","Therese Rie-Andro–h-Moll-Messe","1"
"Ludwig Ganghofer","11402","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Ludwig Ganghofer–Der grüne Kakadu. Groteske in einem Akt","2"
"Adalbert Franz Seligmann","12769","Reigen. Zehn Dialoge","29855","55","Directed","Adalbert Franz Seligmann–Reigen. Zehn Dialoge","2"
"Adalbert Franz Seligmann","12769","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Adalbert Franz Seligmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Adalbert Franz Seligmann","12769","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Adalbert Franz Seligmann–Zwischenspiel. Komödie in drei Akten","1"
"Adalbert Franz Seligmann","12769","Hinter dem Leben","32302","2","Directed","Adalbert Franz Seligmann–Hinter dem Leben","2"
"Adalbert Franz Seligmann","12769","Timon Sums, Bekenntnisse einer schönen Seele. (3798. Fortsetzung und Schluss.)","32598","1","Directed","Adalbert Franz Seligmann–Timon Sums, Bekenntnisse einer schönen Seele. (3798. Fortsetzung und Schluss.)","1"
"Adalbert Franz Seligmann","12769","Burgtheater. [Zwischenspiel]","50599","1","Directed","Adalbert Franz Seligmann–Burgtheater. [Zwischenspiel]","1"
"Ferdinand von Saar","12602","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Ferdinand von Saar–Das Märchen. Schauspiel in drei Aufzügen","1"
"Ferdinand von Saar","12602","Lieutenant Gustl. Novelle","29853","31","Directed","Ferdinand von Saar–Lieutenant Gustl. Novelle","1"
"Ferdinand von Saar","12602","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Ferdinand von Saar–Liebelei. Schauspiel in drei Akten","1"
"Ferdinand von Saar","12602","Anatol","29935","96","Directed","Ferdinand von Saar–Anatol","1"
"Ferdinand von Saar","12602","Sterben. Novelle","30117","52","Directed","Ferdinand von Saar–Sterben. Novelle","1"
"Ferdinand von Saar","12602","Frau Bertha Garlan. Roman","30486","30","Directed","Ferdinand von Saar–Frau Bertha Garlan. Roman","1"
"Ferdinand von Saar","12602","Madame Bovary. Mœurs de province","31493","1","Directed","Ferdinand von Saar–Madame Bovary. Mœurs de province","1"
"Ferdinand von Saar","12602","Alkandi’s Lied","31637","14","Directed","Ferdinand von Saar–Alkandi’s Lied","1"
"Ferdinand von Saar","12602","Liebelei. Erstes Bild","33498","1","Directed","Ferdinand von Saar–Liebelei. Erstes Bild","1"
"Robert Adam","12438","Der Geist im Wort und der Geist in der Tat","30051","8","Directed","Robert Adam–Der Geist im Wort und der Geist in der Tat","2"
"Robert Adam","12438","Buch der Sprüche und Bedenken","30053","14","Directed","Robert Adam–Buch der Sprüche und Bedenken","1"
"Robert Adam","12438","Doktor Gräsler, Badearzt","30201","4","Directed","Robert Adam–Doktor Gräsler, Badearzt","1"
"Robert Adam","12438","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Robert Adam–Professor Bernhardi. Komödie in fünf Akten","1"
"Robert Adam","12438","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Robert Adam–Das weite Land. Tragikomödie in fünf Akten","1"
"Robert Adam","12438","Faust. Eine Tragödie","30247","12","Directed","Robert Adam–Faust. Eine Tragödie","1"
"Robert Adam","12438","Komödie der Worte. Drei Einakter","30717","7","Directed","Robert Adam–Komödie der Worte. Drei Einakter","1"
"Robert Adam","12438","Therese. Chronik eines Frauenlebens","30817","7","Directed","Robert Adam–Therese. Chronik eines Frauenlebens","1"
