Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Franz Blei","10955","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Franz Blei–Der grüne Kakadu. Groteske in einem Akt","5"
"Franz Blei","10955","Reigen. Zehn Dialoge","29855","55","Directed","Franz Blei–Reigen. Zehn Dialoge","3"
"Oskar Blumenthal","14328","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Oskar Blumenthal–Das Märchen. Schauspiel in drei Aufzügen","5"
"Georg Brandes","10992","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Georg Brandes–Das Märchen. Schauspiel in drei Aufzügen","3"
"Georg Brandes","10992","Die Toten schweigen","29833","12","Directed","Georg Brandes–Die Toten schweigen","1"
"Georg Brandes","10992","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Georg Brandes–Der grüne Kakadu. Groteske in einem Akt","6"
"Georg Brandes","10992","Lieutenant Gustl. Novelle","29853","31","Directed","Georg Brandes–Lieutenant Gustl. Novelle","5"
"Georg Brandes","10992","Reigen. Zehn Dialoge","29855","55","Directed","Georg Brandes–Reigen. Zehn Dialoge","3"
"Georg Brandes","10992","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Georg Brandes–Der Schleier der Beatrice. Schauspiel in fünf Akten","6"
"Georg Brandes","10992","Literatur","29869","16","Directed","Georg Brandes–Literatur","1"
"Wilhelm Bölsche","11061","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Wilhelm Bölsche–Das Märchen. Schauspiel in drei Aufzügen","6"
"Jakob Julius David","2416","Reigen. Zehn Dialoge","29855","55","Directed","Jakob Julius David–Reigen. Zehn Dialoge","1"
"Richard Dehmel","11148","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Richard Dehmel–Der Schleier der Beatrice. Schauspiel in fünf Akten","4"
"Albert Ehrenstein","11230","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Albert Ehrenstein–Der grüne Kakadu. Groteske in einem Akt","1"
"Albert Ehrenstein","11230","Reigen. Zehn Dialoge","29855","55","Directed","Albert Ehrenstein–Reigen. Zehn Dialoge","1"
"Albert Ehrenstein","11230","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Albert Ehrenstein–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Friedrich M. Fels","2450","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Friedrich M. Fels–Das Märchen. Schauspiel in drei Aufzügen","1"
"Stefan Grossmann","11527","Lieutenant Gustl. Novelle","29853","31","Directed","Stefan Grossmann–Lieutenant Gustl. Novelle","4"
"Stefan Grossmann","11527","Reigen. Zehn Dialoge","29855","55","Directed","Stefan Grossmann–Reigen. Zehn Dialoge","3"
"Stefan Grossmann","11527","Lebendige Stunden. Vier Einakter","29863","38","Directed","Stefan Grossmann–Lebendige Stunden. Vier Einakter","1"
"Stefan Grossmann","11527","Literatur","29869","16","Directed","Stefan Grossmann–Literatur","2"
"Stefan Grossmann","11527","Der Puppenspieler. Studie in einem Aufzuge","29873","10","Directed","Stefan Grossmann–Der Puppenspieler. Studie in einem Aufzuge","1"
"Stefan Grossmann","11527","Die letzten Masken","29877","11","Directed","Stefan Grossmann–Die letzten Masken","3"
"Gerhart Hauptmann","11617","Die Weber. Schauspiel aus den vierziger Jahren","29827","5","Directed","Gerhart Hauptmann–Die Weber. Schauspiel aus den vierziger Jahren","1"
"Gerhart Hauptmann","11617","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Gerhart Hauptmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Hugo von Hofmannsthal","11740","Artifex","29821","5","Directed","Hugo von Hofmannsthal–Artifex","1"
"Hugo von Hofmannsthal","11740","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Hugo von Hofmannsthal–Das Märchen. Schauspiel in drei Aufzügen","12"
"Hugo von Hofmannsthal","11740","Der Ehrentag","29831","4","Directed","Hugo von Hofmannsthal–Der Ehrentag","1"
"Hugo von Hofmannsthal","11740","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Hugo von Hofmannsthal–Der grüne Kakadu. Groteske in einem Akt","7"
"Hugo von Hofmannsthal","11740","Die Hochzeit der Sobeide","29849","5","Directed","Hugo von Hofmannsthal–Die Hochzeit der Sobeide","3"
"Hugo von Hofmannsthal","11740","Lieutenant Gustl. Novelle","29853","31","Directed","Hugo von Hofmannsthal–Lieutenant Gustl. Novelle","5"
