year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,13,0,5,0
1892,23,0,8,0
1893,36,0,11,0
1894,32,0,29,0
1895,34,0,20,0
1896,35,0,19,0
1897,35,0,16,0
1898,31,0,16,0
1899,38,0,24,0
1900,25,0,14,0
1901,29,0,11,0
1902,10,0,4,0
1903,15,0,8,1
1904,21,0,15,0
1905,16,0,10,0
1906,10,0,3,0
1907,16,0,11,0
1908,18,0,5,0
1909,17,0,9,0
1910,24,0,12,0
1911,4,0,4,0
1912,8,0,8,0
1913,4,0,4,0
1914,14,0,6,0
1915,2,0,1,0
1916,5,0,2,0
1917,4,0,3,0
1918,3,0,2,0
1919,0,0,1,0
1920,1,0,2,0
1921,3,0,0,0
1922,4,0,0,0
1923,1,0,1,0
1924,3,0,0,0
1925,3,0,0,0
1926,2,0,0,0
1927,2,0,1,0
1928,1,0,0,0
1929,0,0,1,0
1930,0,0,2,0
1931,0,1,1,0
