year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,3,0,7,0
1892,4,0,15,0
1893,6,0,12,0
1894,5,0,17,0
1895,1,0,22,0
1896,2,0,15,0
1897,5,0,17,0
1898,5,0,10,0
1899,4,0,18,0
1900,1,0,10,0
1901,6,0,8,0
1902,9,0,19,1
1903,12,0,20,0
1904,5,0,16,0
1905,8,0,9,0
1906,7,1,24,0
1907,5,0,15,0
1908,4,0,9,0
1909,0,0,11,0
1910,4,0,10,0
1911,1,0,3,0
1912,0,0,6,0
1913,0,0,2,0
1914,0,0,3,0
1915,2,0,0,0
1916,0,0,1,0
1917,1,0,2,0
1918,0,0,0,0
1919,1,0,1,0
1920,0,0,0,0
1921,0,0,6,0
1922,0,0,6,0
1923,2,0,1,0
1924,0,0,2,0
1925,1,0,3,0
1926,0,0,1,0
1927,3,0,3,0
1928,1,0,3,0
1929,2,0,4,0
1930,0,0,5,0
1931,2,0,1,0
