year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,6,0,8,0
1892,15,0,24,0
1893,9,0,23,0
1894,7,0,9,0
1895,6,0,8,0
1896,5,0,12,0
1897,13,0,23,0
1898,15,0,28,0
1899,11,0,34,0
1900,6,0,13,0
1901,5,0,11,0
1902,5,0,18,0
1903,7,0,22,0
1904,16,0,39,0
1905,5,0,15,0
1906,6,0,15,0
1907,4,0,21,0
1908,3,0,11,0
1909,3,0,8,0
1910,8,0,13,0
1911,3,0,9,0
1912,2,0,12,0
1913,0,0,2,0
1914,1,0,6,0
1915,0,0,3,0
1916,1,0,3,0
1917,1,0,3,0
1918,0,0,3,0
1919,1,0,4,0
1920,0,0,8,0
1921,0,0,1,0
1922,0,0,1,0
1923,2,0,2,0
1924,2,0,4,0
1925,3,0,5,0
1926,1,0,1,0
1927,2,0,2,0
1928,1,0,3,0
1929,2,0,1,0
1930,0,0,0,0
1931,0,0,0,0
