year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,0,0,0,0
1893,0,0,0,0
1894,1,0,1,0
1895,0,0,0,0
1896,4,0,2,0
1897,5,0,3,0
1898,2,0,2,0
1899,7,0,5,0
1900,2,0,4,0
1901,5,0,5,3
1902,0,0,0,0
1903,0,0,0,0
1904,0,0,1,0
1905,0,0,0,0
1906,4,0,3,0
1907,0,0,0,0
1908,1,0,1,0
1909,0,0,1,0
1910,0,0,1,0
1911,3,0,4,0
1912,1,0,4,0
1913,1,0,1,0
1914,3,0,3,0
1915,3,0,2,0
1916,0,0,0,0
1917,0,0,2,0
1918,2,0,1,0
1919,0,0,0,0
1920,2,0,2,0
1921,1,0,0,0
1922,2,0,2,0
1923,0,0,2,0
1924,3,0,1,0
1925,4,0,3,4
1926,2,0,2,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0,0,0,0
