year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,4,0,1,0
1893,11,0,4,1
1894,4,0,2,0
1895,4,0,2,0
1896,5,0,2,0
1897,8,0,3,0
1898,12,0,2,0
1899,37,0,11,0
1900,26,0,4,0
1901,15,0,4,0
1902,11,0,2,0
1903,25,0,4,0
1904,28,0,4,1
1905,22,1,3,0
1906,18,0,2,0
1907,7,0,1,0
1908,10,0,1,0
1909,14,0,3,0
1910,12,0,2,0
1911,12,0,2,0
1912,8,0,1,0
1913,11,0,8,0
1914,11,0,4,0
1915,3,0,2,0
1916,5,0,2,0
1917,3,0,0,0
1918,1,0,0,0
1919,3,0,0,0
1920,2,0,1,0
1921,2,0,0,0
1922,6,0,0,0
1923,7,0,0,0
1924,2,0,0,0
1925,8,0,0,0
1926,8,0,1,0
1927,6,0,1,0
1928,6,0,1,0
1929,1,0,1,0
1930,0,0,0,0
1931,0,0,0,0
