year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,1,0
1892,1,0,7,0
1893,3,0,9,0
1894,1,0,9,0
1895,1,0,8,0
1896,3,0,16,0
1897,10,0,9,0
1898,8,0,7,0
1899,4,0,4,0
1900,4,0,5,0
1901,14,0,14,0
1902,9,0,8,0
1903,17,0,17,0
1904,9,0,21,0
1905,12,0,11,0
1906,7,0,7,0
1907,11,0,10,0
1908,6,0,6,0
1909,6,0,10,0
1910,6,0,5,0
1911,2,0,2,0
1912,3,0,5,0
1913,6,0,4,0
1914,2,0,2,0
1915,1,0,1,0
1916,0,0,0,0
1917,0,0,0,0
1918,3,0,1,1
1919,0,0,0,0
1920,0,0,0,0
1921,1,1,1,0
1922,2,0,1,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,2,0,2,0
1931,1,0,1,0
