year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,3038,0,2383,0
1892,9708,0,3492,0
1893,15757,0,6499,0
1894,19871,0,13029,0
1895,22247,0,14768,0
1896,12345,0,6739,0
1897,17841,0,9316,0
1898,14218,0,7025,0
1899,15504,0,10891,0
1900,11491,0,8414,0
1901,8688,0,3800,0
1902,1399,0,665,0
1903,5010,0,3294,0
1904,9172,0,5051,0
1905,7712,0,4690,0
1906,2694,0,979,0
1907,6402,1306,7426,0
1908,6131,771,820,0
1909,3952,1318,20134,0
1910,8108,446,8813,0
1911,775,271,1074,0
1912,2187,0,2032,0
1913,1315,0,705,0
1914,3282,0,1406,0
1915,520,0,345,0
1916,3362,0,351,0
1917,4910,0,2284,0
1918,1816,0,849,0
1919,0,0,366,0
1920,1112,0,746,0
1921,725,0,0,0
1922,777,0,0,0
1923,1825,0,220,0
1924,4676,0,0,0
1925,493,0,0,0
1926,268,0,0,1015
1927,504,0,98,1004
1928,102,0,0,0
1929,0,0,1730,0
1930,0,0,250,0
1931,0,343,305,0
