year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,1474,0
1889,0,0,10916,0
1890,0,0,19089,0
1891,0,0,61284,0
1892,0,0,22945,0
1893,0,0,38525,786
1894,493,0,72431,0
1895,0,0,90325,0
1896,2120,0,88556,566
1897,0,0,62571,0
1898,0,0,36127,424
1899,217,0,54178,0
1900,1256,0,57355,0
1901,0,0,52872,0
1902,0,0,51008,0
1903,0,0,29223,0
1904,0,0,15211,0
1905,0,0,4024,0
1906,0,0,7419,0
1907,4162,0,3980,0
1908,0,0,2711,0
1909,0,0,2432,0
1910,0,0,1729,0
1911,14381,0,12446,1214
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,1099,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,2169,0,6761,513
1926,0,0,0,0
1927,337,0,1337,434
1928,0,0,489,0
1929,0,0,0,0
1930,0,0,1187,0
1931,0,0,1724,0
