year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,2658,0,6736,0
1892,1403,0,10523,0
1893,5360,0,10250,0
1894,1300,0,6681,0
1895,288,0,15672,0
1896,426,0,11256,0
1897,1821,0,13827,0
1898,975,0,3242,0
1899,2092,0,10072,0
1900,53,0,5705,0
1901,2372,0,6281,0
1902,6347,0,11357,301
1903,15016,0,29460,0
1904,2075,0,5831,0
1905,5626,0,3786,0
1906,12642,79,28771,0
1907,4013,0,26668,0
1908,3166,0,5275,0
1909,0,0,5200,0
1910,2249,0,3554,0
1911,1717,0,9309,0
1912,0,0,5046,0
1913,0,0,307,0
1914,0,0,1501,0
1915,73,0,0,0
1916,0,0,0,0
1917,502,0,842,0
1918,0,0,0,0
1919,82,0,1037,0
1920,0,0,0,0
1921,0,0,1720,0
1922,0,0,1143,0
1923,1390,0,688,0
1924,0,0,376,0
1925,925,0,274,0
1926,0,0,607,0
1927,1439,0,402,0
1928,703,0,525,0
1929,2646,0,1597,0
1930,0,0,919,0
1931,606,0,0,0
