Source,CorrID,Target,OrgID,Overallcount,Type,Label,Weight
"Friedrich M. Fels","2450","Die Presse","29270","5","Directed","Friedrich M. Fels–Die Presse","2"
"Friedrich M. Fels","2450","Deutsche Zeitung","29424","11","Directed","Friedrich M. Fels–Deutsche Zeitung","2"
"Friedrich M. Fels","2450","Grazer Tagblatt","29201","1","Directed","Friedrich M. Fels–Grazer Tagblatt","1"
"Friedrich M. Fels","2450","Leopold Weiss","29220","1","Directed","Friedrich M. Fels–Leopold Weiss","1"
"Friedrich M. Fels","2450","Meininger","29236","1","Directed","Friedrich M. Fels–Meininger","1"
"Friedrich M. Fels","2450","Vossische Zeitung","29331","9","Directed","Friedrich M. Fels–Vossische Zeitung","1"
"Friedrich M. Fels","2450","Neue Freie Presse","29351","72","Directed","Friedrich M. Fels–Neue Freie Presse","1"
"Friedrich M. Fels","2450","Allgemeine Kunst-Chronik","29360","1","Directed","Friedrich M. Fels–Allgemeine Kunst-Chronik","1"
"Friedrich M. Fels","2450","Neues Wiener Tagblatt","29414","15","Directed","Friedrich M. Fels–Neues Wiener Tagblatt","1"
"Friedrich M. Fels","2450","Moderne Dichtung/Moderne Rundschau","29417","4","Directed","Friedrich M. Fels–Moderne Dichtung/Moderne Rundschau","1"
"Friedrich M. Fels","2450","Die Zukunft","29631","4","Directed","Friedrich M. Fels–Die Zukunft","1"
"Friedrich M. Fels","2450","Kölnische Zeitung","29646","2","Directed","Friedrich M. Fels–Kölnische Zeitung","1"
"Friedrich M. Fels","2450","Wiener Allgemeine Zeitung","29670","23","Directed","Friedrich M. Fels–Wiener Allgemeine Zeitung","1"
"Friedrich M. Fels","2450","Neue Zürcher Zeitung","29672","1","Directed","Friedrich M. Fels–Neue Zürcher Zeitung","1"
"Friedrich M. Fels","2450","Tagespost","29684","1","Directed","Friedrich M. Fels–Tagespost","1"
"Friedrich M. Fels","2450","Extrapost","29717","1","Directed","Friedrich M. Fels–Extrapost","1"
"Friedrich M. Fels","2450","Concordia","29752","9","Directed","Friedrich M. Fels–Concordia","1"
"Friedrich M. Fels","2450","Die Nation","29807","2","Directed","Friedrich M. Fels–Die Nation","1"
"Friedrich M. Fels","2450","Die Gegenwart","29808","1","Directed","Friedrich M. Fels–Die Gegenwart","1"
"Friedrich M. Fels","2450","Burgtheater","36247","62","Directed","Friedrich M. Fels–Burgtheater","1"
"Friedrich M. Fels","2450","Dr. A. Gude GmbH.","41793","1","Directed","Friedrich M. Fels–Dr. A. Gude GmbH.","1"
"Friedrich M. Fels","2450","Augartenfest","41828","1","Directed","Friedrich M. Fels–Augartenfest","1"
"Friedrich M. Fels","2450","Deutsche Schillerstiftung","41852","2","Directed","Friedrich M. Fels–Deutsche Schillerstiftung","1"
"Friedrich M. Fels","2450","Montags-Revue","41913","1","Directed","Friedrich M. Fels–Montags-Revue","1"
